Year,UID,Question,Categories,Unit,Answer Type,Asked of,Age range,Multiple choice options
1790,1790_1,Name of head of household,Identity,Individual,FT,All respondents,,
1790,1790_2,Professions and Occupations,Occupation - Job,Individual,FT,All respondents,,
1790,1790_3-4,Free white males,"Age, Race, Sex",Household,FN,All respondents,"Under 16, 16 and over",
1790,1790_5,Free white females,"Age, Race, Sex",Household,FN,All respondents,,
1790,1790_7,Slaves,"Age, Race, Enslavement",Household,FN,All respondents,,
1790,1790_6,Other free persons,"Age, Race, Enslavement",Household,FN,All respondents,,
1800,1800_1,Name of head of household,Identity,Individual,FT,All respondents,,
1800,1800_2-6,Free white males,"Age, Race, Sex",Household,FN,All respondents,"Under 10, 10 to 16, 16 to 26, 26 to 45, 45 and over",
1800,1800_7-11,Free white females,"Age, Race, Sex",Household,FN,All respondents,"Under 10, 10 to 16, 16 to 26, 26 to 45, 45 and over",
1800,1800_13,Slaves,"Age, Race, Enslavement",Household,FN,All respondents,,
1800,1800_12,Other free persons,"Age, Race, Enslavement",Household,FN,All respondents,,
1810,1810_1,Name of head of household,Identity,Individual,FT,All respondents,,
1810,1810_2-6,Free white males,"Age, Race, Sex",Household,FN,All respondents,"Under 10, 10 to 16, 16 to 26, 26 to 45, 45 and over",
1810,1810_7-11,Free white females,"Age, Race, Sex",Household,FN,All respondents,"Under 10, 10 to 16, 16 to 26, 26 to 45, 45 and over",
1810,1810_13,Slaves,"Age, Race, Enslavement",Household,FN,All respondents,,
1810,1810_12,Other free persons,"Age, Race, Enslavement",Household,FN,All respondents,,
1820,1820_1,Name of head of household,Identity,Individual,FT,All respondents,,
1820,1820_2-6,Free white males,"Age, Race, Sex",Household,FN,All respondents,"Under 10, 10 to 16, 16 to 26, 26 to 45, 45 and over",
1820,1820_7-11,Free white females,"Age, Race, Sex",Household,FN,All respondents,"Under 10, 10 to 16, 16 to 26, 26 to 45, 45 and over",
1820,1820_12-15,Male slaves,"Age, Race, Sex, Enslavement",Household,FN,All respondents,"Under 14, 14 to 26, 26 to 45, 45 and over",
1820,1820_16-19,Female slaves,"Age, Race, Sex, Enslavement",Household,FN,All respondents,"Under 14, 14 to 26, 26 to 45, 45 and over",
