index,year,level,sport,winner,winner_metro,runner_up,runner_up_metro,final_four3,final_four3_metro,final_four4,final_four4_metro
1,1870,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
2,1870,college,Football (M),Rutgers Scarlet Knights,"New Brunswick, NJ",,,,,,
3,1871,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
4,1873,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
5,1874,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
6,1875,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
7,1876,college,Football (M),Harvard Crimson,"Greater Boston, MA",,,,,,
8,1877,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
9,1878,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
10,1879,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
11,1880,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
12,1881,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
13,1881,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
14,1882,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
15,1883,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
16,1884,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
17,1885,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
18,1886,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
19,1887,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
20,1888,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
21,1889,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
22,1890,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
23,1891,college,Football (M),Harvard Crimson,"Greater Boston, MA",,,,,,
24,1892,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
25,1893,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
26,1894,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
27,1895,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
28,1896,college,Football (M),Pennsylvania Quakers,"Greater Philadelphia, PA",,,,,,
29,1897,college,Football (M),Lafayette Leopards,"Lehigh Valley, NJ-PA",,,,,,
30,1897,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
31,1898,college,Football (M),Pennsylvania Quakers,"Greater Philadelphia, PA",,,,,,
32,1899,college,Football (M),Harvard Crimson,"Greater Boston, MA",,,,,,
33,1900,college,Football (M),Harvard Crimson,"Greater Boston, MA",,,,,,
34,1901,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
35,1902,college,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,
36,1903,college,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,
37,1903,pro,MLB,Boston Americans,"Greater Boston, MA",Pittsburgh Pirates,"Pittsburgh, PA",Philadelphia Athletics,"Greater Philadelphia, PA",New York Giants,New York Metro Area
38,1904,college,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,
39,1904,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
41,1905,college,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,
42,1905,college,Football (M),Pennsylvania Quakers,"Greater Philadelphia, PA",,,,,,
43,1905,pro,MLB,New York Giants,New York Metro Area,Philadelphia Athletics,"Greater Philadelphia, PA",Chicago White Sox,"Chicago, IL",Pittsburgh Pirates,"Pittsburgh, PA"
44,1906,college,Football (M),Chicago Maroons,"Chicago, IL",,,,,,
45,1906,pro,MLB,Chicago White Sox,"Chicago, IL",Chicago Cubs,"Chicago, IL",New York Highlanders,New York Metro Area,New York Giants,New York Metro Area
46,1907,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
47,1907,pro,MLB,Chicago Cubs,"Chicago, IL",Detroit Tigers,"Metro Detroit, MI",Philadelphia Athletics,"Greater Philadelphia, PA",Pittsburgh Pirates,"Pittsburgh, PA"
