name,city,neighborhood,place,views_median,views_sum,name_clean,lat,lng,extract,state
Eminem,Detroit,,Detroit,20195,32593410,Eminem,42.331427,-83.0457538,"Marshall Bruce Mathers III, known professionally as Eminem, is an American rapper, songwriter, record producer, record executive, film producer, and actor. He is consistently cited as one of the...",Michigan
Kim Kardashian,Calabasas,,Calabasas,19586,29056939,Kim Kardashian,34.1367208,-118.6614809,"Kimberly Noel Kardashian West is an American media personality, businesswoman, socialite, and model. Kardashian first gained media attention as a friend and stylist of Paris Hilton, but received...",California
Kim Kardashian,Hidden Hills,,Hidden Hills,19586,29056939,Kim Kardashian,34.1602832,-118.6523096,"Kimberly Noel Kardashian West is an American media personality, businesswoman, socialite, and model. Kardashian first gained media attention as a friend and stylist of Paris Hilton, but received...",California
Michael Jordan,Highland Park,,Highland Park,18720,29225129,Michael Jordan,42.1816918,-87.8003437,"Michael Jeffrey Jordan, also known by his initials, MJ, is an American former professional basketball player who is the principal owner and chairman of the Charlotte Hornets of the National...",Illinois
Michael Jordan,Charlotte,,Charlotte,18612,29402581,Michael Jordan,35.2270869,-80.8431267,"Michael Jeffrey Jordan, also known by his initials, MJ, is an American former professional basketball player who is the principal owner and chairman of the Charlotte Hornets of the National...",North Carolina
Michael Jordan,Brooklyn,,Brooklyn,18612,29402581,Michael Jordan,40.6781784,-73.9441579,"Michael Jeffrey Jordan, also known by his initials, MJ, is an American former professional basketball player who is the principal owner and chairman of the Charlotte Hornets of the National...",New York
Ariana Grande,Boca Raton,,Boca Raton,18528,38380204,Ariana Grande,26.3683064,-80.1289321,"Ariana Grande-Butera is an American singer, songwriter and actress. As one of the world's leading contemporary recording artists, she is known for her wide vocal range.",Florida
Jennifer Aniston,Los Angeles,Bel Air,Bel Air,18138.5,28538112,Jennifer Aniston,34.1002455,-118.459463,"Jennifer Joanna Aniston is an American actress, film producer, and businesswoman. The daughter of actors John Aniston and Nancy Dow, she began working as an actress at an early age with an uncredited...",California
Jennifer Aniston,Malibu,,Malibu,18137,28330785,Jennifer Aniston,34.0259216,-118.7797571,"Jennifer Joanna Aniston is an American actress, film producer, and businesswoman. The daughter of actors John Aniston and Nancy Dow, she began working as an actress at an early age with an uncredited...",California
Albert Einstein,Princeton,,Princeton,17998,28680812,Albert Einstein,40.3572976,-74.6672226,"Albert Einstein was a German-born theoretical physicist who developed the theory of relativity, one of the two pillars of modern physics. His work is also known for its influence on the philosophy of...",New Jersey
Steve Jobs,Palo Alto,,Palo Alto,17801,30907164,Steve Jobs,37.4418834,-122.1430195,"Steven Paul Jobs was an American business magnate and investor. He was the chairman, chief executive officer (CEO), and co-founder of Apple Inc.; chairman and majority shareholder of Pixar; a member...",California
Steve Jobs,Cupertino,,Cupertino,17801,30907164,Steve Jobs,37.3229978,-122.0321823,"Steven Paul Jobs was an American business magnate and investor. He was the chairman, chief executive officer (CEO), and co-founder of Apple Inc.; chairman and majority shareholder of Pixar; a member...",California
Steve Jobs,Mountain View,,Mountain View,17801,30907164,Steve Jobs,37.3860517,-122.0838511,"Steven Paul Jobs was an American business magnate and investor. He was the chairman, chief executive officer (CEO), and co-founder of Apple Inc.; chairman and majority shareholder of Pixar; a member...",California
Steve Jobs,Los Altos,,Los Altos,17801,30907164,Steve Jobs,37.3852183,-122.1141298,"Steven Paul Jobs was an American business magnate and investor. He was the chairman, chief executive officer (CEO), and co-founder of Apple Inc.; chairman and majority shareholder of Pixar; a member...",California
Tom Cruise,Glen Ridge,,Glen Ridge,17783,28643695,Tom Cruise,40.805378,-74.2037566,"Thomas Cruise is an American actor and producer. Primarily known for his work in action films, he has also received several accolades for more dramatic work, including three Golden Globe Awards and...",New Jersey
Tom Cruise,Los Feliz,,Los Feliz,17753,28832681,Tom Cruise,34.1063307,-118.2848199,"Thomas Cruise is an American actor and producer. Primarily known for his work in action films, he has also received several accolades for more dramatic work, including three Golden Globe Awards and...",Los Angeles
Tom Cruise,Syracuse,,Syracuse,17753,28832681,Tom Cruise,43.0481221,-76.1474244,"Thomas Cruise is an American actor and producer. Primarily known for his work in action films, he has also received several accolades for more dramatic work, including three Golden Globe Awards and...",New York
Tom Cruise,Louisville,,Louisville,17747.5,28880859,Tom Cruise,38.2526647,-85.7584557,"Thomas Cruise is an American actor and producer. Primarily known for his work in action films, he has also received several accolades for more dramatic work, including three Golden Globe Awards and...",Kentucky
Steve Jobs,Portland,,Portland,17746,31078527,Steve Jobs,45.5154586,-122.6793461,"Steven Paul Jobs was an American business magnate and investor. He was the chairman, chief executive officer (CEO), and co-founder of Apple Inc.; chairman and majority shareholder of Pixar; a member...",Oregon
Steve Jobs,San Francisco,,San Francisco,17746,31078527,Steve Jobs,37.7749295,-122.4194155,"Steven Paul Jobs was an American business magnate and investor. He was the chairman, chief executive officer (CEO), and co-founder of Apple Inc.; chairman and majority shareholder of Pixar; a member...",California
Steve Jobs,San Jose,,San Jose,17746,31078527,Steve Jobs,37.3382082,-121.8863286,"Steven Paul Jobs was an American business magnate and investor. He was the chairman, chief executive officer (CEO), and co-founder of Apple Inc.; chairman and majority shareholder of Pixar; a member...",California
John Cena,West Newbury,,West Newbury,17524,27935856,John Cena,42.8014795,-70.989778,"John Felix Anthony Cena Jr. is an American professional wrestler, actor, and rapper. He is signed to WWE, where he appears for both the Raw and SmackDown brands.",Massachusetts
John Cena,Boston,,Boston,17454,28040806,John Cena,42.3600825,-71.0588801,"John Felix Anthony Cena Jr. is an American professional wrestler, actor, and rapper. He is signed to WWE, where he appears for both the Raw and SmackDown brands.",Massachusetts
John Cena,Tampa,,Tampa,17454,28040806,John Cena,27.950575,-82.4571776,"John Felix Anthony Cena Jr. is an American professional wrestler, actor, and rapper. He is signed to WWE, where he appears for both the Raw and SmackDown brands.",Florida
Joe Bonamassa,Utica,,Utica,1625,2477310,Joe Bonamassa,43.100903,-75.232664,"Joe Bonamassa is an American blues rock guitarist, singer and songwriter.",New York
Leonardo DiCaprio,Palm Springs,,Palm Springs,17360,31820376,Leonardo DiCaprio,33.8302961,-116.5452921,"Leonardo Wilhelm DiCaprio is an American actor, film producer, and environmentalist. He has been nominated for six Academy Awards, four British Academy Film Awards and nine Screen Actors Guild...",California
Leonardo DiCaprio,Los Angeles,Echo Park,Echo Park,17344.5,31997186,Leonardo DiCaprio,34.0781593,-118.2605574,"Leonardo Wilhelm DiCaprio is an American actor, film producer, and environmentalist. He has been nominated for six Academy Awards, four British Academy Film Awards and nine Screen Actors Guild...",California
LeBron James,Los Angeles,Brentwood,Brentwood,17291,35011265,LeBron James,34.0521011,-118.4732464,LeBron Raymone James Sr. is an American professional basketball player for the Los Angeles Lakers of the National Basketball Association (NBA). He is often considered the best basketball player in...,California
LeBron James,Akron,,Akron,17247,34854047,LeBron James,41.0814447,-81.5190053,LeBron Raymone James Sr. is an American professional basketball player for the Los Angeles Lakers of the National Basketball Association (NBA). He is often considered the best basketball player in...,Ohio
Tupac Shakur,Oakland,,Oakland,16720,28016932,Tupac Shakur,37.8043637,-122.2711137,"Tupac Amaru Shakur, also known by his stage names 2Pac and Makaveli, was an American rapper, writer, and actor. He is considered by many to be one of the greatest rappers of all time.",California
Tupac Shakur,Harlem,,Harlem,16720,28016932,Tupac Shakur,40.8115504,-73.9464769,"Tupac Amaru Shakur, also known by his stage names 2Pac and Makaveli, was an American rapper, writer, and actor. He is considered by many to be one of the greatest rappers of all time.",New York
Tupac Shakur,Baltimore,,Baltimore,16720,28016932,Tupac Shakur,39.2903848,-76.6121893,"Tupac Amaru Shakur, also known by his stage names 2Pac and Makaveli, was an American rapper, writer, and actor. He is considered by many to be one of the greatest rappers of all time.",Maryland
John F. Kennedy,Brookline,,Brookline,16677,26066991,John F. Kennedy,42.3317642,-71.1211635,"John Fitzgerald ""Jack"" Kennedy, often referred to by his initials JFK, was an American politician who served as the 35th president of the United States from January 1961 until his assassination in...",Massachusetts
John F. Kennedy,Barnstable,,Barnstable,16677,26066991,John F. Kennedy,41.7003208,-70.3002024,"John Fitzgerald ""Jack"" Kennedy, often referred to by his initials JFK, was an American politician who served as the 35th president of the United States from January 1961 until his assassination in...",Massachusetts
John F. Kennedy,Washington D.C.,Georgetown,Georgetown,16593.5,26396419,John F. Kennedy,38.9097057,-77.0653565,"John Fitzgerald ""Jack"" Kennedy, often referred to by his initials JFK, was an American politician who served as the 35th president of the United States from January 1961 until his assassination in...",
Abraham Lincoln,Springfield,,Springfield,16488,25397785,Abraham Lincoln,39.7817213,-89.6501481,"Abraham Lincoln was an American statesman, politician, and lawyer who served as the 16th president of the United States from 1861 until his assassination in April 1865. Lincoln led the nation through...",Illinois
Elvis Presley,Memphis,,Memphis,15935,25211015,Elvis Presley,35.1495343,-90.0489801,"Elvis Aaron Presley, also known mononymously as Elvis, was an American singer and actor. Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the...",Tennessee
Elvis Presley,Tupelo,,Tupelo,15935,25211015,Elvis Presley,34.2576066,-88.7033859,"Elvis Aaron Presley, also known mononymously as Elvis, was an American singer and actor. Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the...",Mississippi
Johnny Depp,Owensboro,,Owensboro,15835,26106024,Johnny Depp,37.7719074,-87.1111676,"John Christopher Depp II is an American actor, producer and musician. He has been nominated for ten Golden Globe Awards, winning one for Best Actor for his performance of the title role in Sweeney...",Kentucky
Will Smith,Philadelphia,,Philadelphia,15002,26266121,Will Smith,39.9525839,-75.1652215,"Willard Carroll Smith II is an American actor, rapper, singer and media personality. In April 2007, Newsweek called him 'the most powerful actor in Hollywood'. Smith has been nominated for five Golden...",Pennsylvania
Bill Gates,Medina,,Medina,14957,21840583,Bill Gates,47.6248333,-122.2360597,"William Henry Gates III is an American business magnate, investor, author, philanthropist, and humanitarian. He is best known as the principal founder of Microsoft Corporation. During his career at...",Washington
Taylor Swift,Wyomissing,,Wyomissing,14955,25963364,Taylor Swift,40.329537,-75.9652117,"Taylor Alison Swift is an American singer-songwriter. As one of the world's leading contemporary recording artists, she is known for narrative songs about her personal life, which have received...",Pennsylvania
Taylor Swift,Stone Harbor,,Stone Harbor,14955,25963364,Taylor Swift,39.0464066,-74.7643608,"Taylor Alison Swift is an American singer-songwriter. As one of the world's leading contemporary recording artists, she is known for narrative songs about her personal life, which have received...",New Jersey
Bill Gates,Seattle,,Seattle,14944,21999410,Bill Gates,47.6062095,-122.3320708,"William Henry Gates III is an American business magnate, investor, author, philanthropist, and humanitarian. He is best known as the principal founder of Microsoft Corporation. During his career at...",Washington
Selena Gomez,Grand Prairie,,Grand Prairie,14906,22808564,Selena Gomez,32.7459645,-96.9977846,"Selena Marie Gomez is an American actress, singer, and producer. After appearing on the children's television series Barney & Friends as a child, she received wider recognition for her portrayal of...",Texas
Jason Momoa,Des Moines,,Des Moines,14679,31858790,Jason Momoa,41.5868353,-93.6249593,"Joseph Jason Namakaeha Momoa is an American actor. He played Aquaman in the DC Extended Universe, beginning with the 2016 superhero film Batman v Superman: Dawn of Justice, and in the 2017 ensemble...",Iowa
Sylvester Stallone,Silver Spring,,Silver Spring,14601,26886883,Sylvester Stallone,38.9906657,-77.026088,"Michael Sylvester Gardenzio Stallone is an American actor, director, screenwriter, and producer. He is well known for his Hollywood action roles, including boxer Rocky Balboa in the Rocky series...",Maryland
Sylvester Stallone,Potomac,,Potomac,14555,27033808,Sylvester Stallone,39.0181651,-77.2085914,"Michael Sylvester Gardenzio Stallone is an American actor, director, screenwriter, and producer. He is well known for his Hollywood action roles, including boxer Rocky Balboa in the Rocky series...",Maryland
Sylvester Stallone,Manhattan,Hell's Kitchen,Hell's Kitchen,14533,27173995,Sylvester Stallone,40.7637581,-73.9918181,"Michael Sylvester Gardenzio Stallone is an American actor, director, screenwriter, and producer. He is well known for his Hollywood action roles, including boxer Rocky Balboa in the Rocky series...",New York
Clint Eastwood,Piedmont,,Piedmont,14285,23852295,Clint Eastwood,37.8243715,-122.231635,"Clinton Eastwood Jr. is an American actor, filmmaker, musician, and politician. After achieving success in the Western TV series Rawhide, he rose to international fame with his role as the Man with...",California
Clint Eastwood,Carmel-by-the-Sea,,Carmel-by-the-Sea,14285,23852295,Clint Eastwood,36.5552386,-121.9232879,"Clinton Eastwood Jr. is an American actor, filmmaker, musician, and politician. After achieving success in the Western TV series Rawhide, he rose to international fame with his role as the Man with...",California
Clint Eastwood,Pebble Beach,,Pebble Beach,14285,23852295,Clint Eastwood,36.5725286,-121.9485937,"Clinton Eastwood Jr. is an American actor, filmmaker, musician, and politician. After achieving success in the Western TV series Rawhide, he rose to international fame with his role as the Man with...",California
Priyanka Chopra,Newton,,Newton,13999,28206985,Priyanka Chopra,42.3370413,-71.2092214,"Priyanka Chopra Jonas is an Indian actress, singer, film producer, and the winner of the Miss World 2000 pageant. One of India's highest-paid and most popular celebrities, Chopra has received...",Massachusetts
Priyanka Chopra,Cedar Rapids,,Cedar Rapids,13999,28206985,Priyanka Chopra,41.9778795,-91.6656232,"Priyanka Chopra Jonas is an Indian actress, singer, film producer, and the winner of the Miss World 2000 pageant. One of India's highest-paid and most popular celebrities, Chopra has received...",Iowa
Charles Manson,Topanga,,Topanga,13939,27922788,Charles Manson,34.0919452,-118.6021321,"Charles Milles Manson was an American criminal and cult leader. In mid-1967, he formed what became known as the Manson Family, a quasi-commune based in California. Manson's followers committed a...",California
Charles Manson,Cincinnati,,Cincinnati,13939,27922788,Charles Manson,39.1031182,-84.5120196,"Charles Milles Manson was an American criminal and cult leader. In mid-1967, he formed what became known as the Manson Family, a quasi-commune based in California. Manson's followers committed a...",Ohio
Ronald Reagan,Tampico,,Tampico,13800,25283501,Ronald Reagan,41.63031,-89.7862177,"Ronald Wilson Reagan was an American politician who served as the 40th president of the United States from 1981 to 1989. Prior to his presidency, he was a Hollywood actor and union leader before...",Illinois
Ronald Reagan,Dixon,,Dixon,13800,25283501,Ronald Reagan,41.8389213,-89.4795478,"Ronald Wilson Reagan was an American politician who served as the 40th president of the United States from 1981 to 1989. Prior to his presidency, he was a Hollywood actor and union leader before...",Illinois
Ronald Reagan,Galesburg,,Galesburg,13733,25432745,Ronald Reagan,40.9478158,-90.3712395,"Ronald Wilson Reagan was an American politician who served as the 40th president of the United States from 1981 to 1989. Prior to his presidency, he was a Hollywood actor and union leader before...",Illinois
Kylie Jenner,Ojai,,Ojai,13615,23382146,Kylie Jenner,34.4480495,-119.242889,"Kylie Kristen Jenner is an American media personality, model, businesswoman, and socialite. She has starred in the E! reality television series Keeping Up with the Kardashians since 2007 and is the...",California
Heath Ledger,Brooklyn,Boerum Hill,Boerum Hill,13489,21981060,Heath Ledger,40.6848689,-73.9844722,"Heath Andrew Ledger was an Australian actor and music video director. After performing roles in several Australian television and film productions during the 1990s, Ledger left for the United States...",New York
Heath Ledger,Manhattan,SoHo,SoHo,13489,21981060,Heath Ledger,40.723301,-74.0029883,"Heath Andrew Ledger was an Australian actor and music video director. After performing roles in several Australian television and film productions during the 1990s, Ledger left for the United States...",New York
Marilyn Monroe,Compton,,Compton,13333,21145288,Marilyn Monroe,33.8958492,-118.2200712,"Marilyn Monroe was an American actress, model, and singer. Famous for playing comic ""blonde bombshell"" characters, she became one of the most popular sex symbols of the 1950s and early 1960s and was...",California
Muhammad Ali,Paradise Valley,,Paradise Valley,13214,30585973,Muhammad Ali,33.5311541,-111.9426452,"Muhammad Ali was an American professional boxer, activist, and philanthropist. He is nicknamed ""The Greatest"" and is widely regarded as one of the most significant and celebrated sports figures of...",Arizona
Muhammad Ali,Cherry Hill,,Cherry Hill,13214,30585973,Muhammad Ali,39.926813,-75.0246312,"Muhammad Ali was an American professional boxer, activist, and philanthropist. He is nicknamed ""The Greatest"" and is widely regarded as one of the most significant and celebrated sports figures of...",New Jersey
Brad Pitt,Springfield,,Springfield,13203,20297381,Brad Pitt,37.2089572,-93.2922989,William Bradley Pitt is an American actor and film producer. He has received multiple awards and nominations including an Academy Award as producer under his own company Plan B Entertainment.,Missouri
Brad Pitt,Shawnee,,Shawnee,13203,20297381,Brad Pitt,35.3272928,-96.9253004,William Bradley Pitt is an American actor and film producer. He has received multiple awards and nominations including an Academy Award as producer under his own company Plan B Entertainment.,Oklahoma
Muhammad Ali,Phoenix,,Phoenix,13186,30736807,Muhammad Ali,33.4483771,-112.0740373,"Muhammad Ali was an American professional boxer, activist, and philanthropist. He is nicknamed ""The Greatest"" and is widely regarded as one of the most significant and celebrated sports figures of...",Arizona
Mark Wahlberg,Dorchester,,Dorchester,13179,20629597,Mark Wahlberg,42.3016305,-71.067605,"Mark Robert Michael Wahlberg is an American actor, producer, businessman, model, rapper, and songwriter. He is also known by his former stage name Marky Mark, from his early career as frontman for...",Massachusetts
Jennifer Lopez,Brookville,,Brookville,13042,21674513,Jennifer Lopez,40.8131553,-73.5673482,"Jennifer Lynn López is an American actress, singer, dancer, and producer. In 1991, López began appearing as a Fly Girl dancer on In Living Color, where she remained a regular until she decided to...",New York
Kanye West,Atlanta,,Atlanta,13022.5,23940157,Kanye West,33.7489954,-84.3879824,"Kanye Omari West is an American rapper, singer, songwriter, record producer, entrepreneur, and fashion designer. His musical career has been marked by dramatic changes in styles, incorporating an...",Georgia
Mark Zuckerberg,Dobbs Ferry,,Dobbs Ferry,12910,21099335,Mark Zuckerberg,41.0145418,-73.872635,Mark Elliot Zuckerberg is an American technology entrepreneur and philanthropist. He is known for co-founding and leading Facebook as its chairman and chief executive officer.,New York
Mark Zuckerberg,White Plains,,White Plains,12910,21099335,Mark Zuckerberg,41.0339862,-73.7629097,Mark Elliot Zuckerberg is an American technology entrepreneur and philanthropist. He is known for co-founding and leading Facebook as its chairman and chief executive officer.,New York
"Meghan, Duchess of Sussex",Los Angeles,View Park-Windsor Hills,View Park-Windsor Hills,12614.5,13892030,"Meghan, Duchess of Sussex",33.9929545,-118.3491169,"Meghan, Duchess of Sussex, is a member of the British royal family and former actress.",California
Tom Hanks,Concord,,Concord,12505,19734970,Tom Hanks,37.9779776,-122.0310733,"Thomas Jeffrey Hanks is an American actor and filmmaker. Hanks is known for his comedic and dramatic roles in such films as Splash (1984), Big (1988), Turner & Hooch (1989), A League of Their Own...",California
Chris Pratt,Lake Stevens,,Lake Stevens,12261,21787852,Chris Pratt,48.015098,-122.0637425,"Christopher Michael Pratt is an American actor. He rose to prominence for his television roles, particularly as Andy Dwyer in the NBC sitcom Parks and Recreation (2009–2015), for which he received...",Washington
Chris Pratt,Virginia,,Virginia,12261,21787852,Chris Pratt,47.5232596,-92.5365713,"Christopher Michael Pratt is an American actor. He rose to prominence for his television roles, particularly as Andy Dwyer in the NBC sitcom Parks and Recreation (2009–2015), for which he received...",Minnesota
Stephen Curry,Alamo,,Alamo,12240,26623871,Stephen Curry,37.8502032,-122.032184,"Wardell Stephen ""Steph"" Curry II is an American professional basketball player for the Golden State Warriors of the National Basketball Association (NBA). A six-time NBA All-Star, he has been named...",California
Robin Williams,Bloomfield Hills,,Bloomfield Hills,12127,19165915,Robin Williams,42.583645,-83.2454883,"Robin McLaurin Williams was an American actor and comedian. Born in Chicago, Williams began performing stand-up comedy in San Francisco and Los Angeles during the mid-1970s, and is credited with...",Michigan
Robin Williams,Lake Forest,,Lake Forest,12107,19112420,Robin Williams,42.2586342,-87.840625,"Robin McLaurin Williams was an American actor and comedian. Born in Chicago, Williams began performing stand-up comedy in San Francisco and Los Angeles during the mid-1970s, and is credited with...",Illinois
Robin Williams,Tiburon,,Tiburon,12107,18964626,Robin Williams,37.8735377,-122.4566392,"Robin McLaurin Williams was an American actor and comedian. Born in Chicago, Williams began performing stand-up comedy in San Francisco and Los Angeles during the mid-1970s, and is credited with...",California
Caitlyn Jenner,Mount Kisco,,Mount Kisco,12106,20805799,Caitlyn Jenner,41.2042616,-73.7270761,Caitlyn Marie Jenner is an American television personality and retired Olympic gold medal–winning decathlete.,New York
Lady Gaga,Manhattan,Upper West Side,Upper West Side,12082.5,31259309,Lady Gaga,40.7870106,-73.9753676,"Stefani Joanne Angelina Germanotta, known professionally as Lady Gaga, is an American singer-songwriter and actress. She is known for her unconventionality, provocative work, and visual...",New York
Donald Glover,Lancaster,,Lancaster,12034,24691586,Donald Glover,34.6867846,-118.1541632,"Donald McKinley Glover Jr. is an American actor, comedian, writer, producer, director, musician, and DJ. He performs music under the stage name Childish Gambino and as a DJ under the name mcDJ.",California
Donald Glover,Stone Mountain,,Stone Mountain,12034,24691586,Donald Glover,33.8081608,-84.170196,"Donald McKinley Glover Jr. is an American actor, comedian, writer, producer, director, musician, and DJ. He performs music under the stage name Childish Gambino and as a DJ under the name mcDJ.",Georgia
Franklin D. Roosevelt,Hyde Park,,Hyde Park,11997,19450779,Franklin D. Roosevelt,41.7667602,-73.9015246,"Franklin Delano Roosevelt, often referred to by his initials FDR, was an American statesman and political leader who served as the 32nd president of the United States from 1933 until his death in...",New York
George Washington,Mount Vernon,,Mount Vernon,11839,18479184,George Washington,38.7293138,-77.1073859,"George Washington was an American political leader, military general, statesman, and Founding Father who also served as the first president of the United States from 1789 to 1797. He led Patriot...",Virginia
Shaquille O'Neal,Newark,,Newark,11826,18964014,Shaquille O'Neal,40.735657,-74.1723667,"Shaquille Rashaun ""Shaq"" O'Neal, is a retired professional American basketball player who is a sports analyst on the television program Inside the NBA on TNT. He is considered one of the greatest...",New Jersey
Shaquille O'Neal,San Antonio,,San Antonio,11826,18964014,Shaquille O'Neal,29.4241219,-98.4936282,"Shaquille Rashaun ""Shaq"" O'Neal, is a retired professional American basketball player who is a sports analyst on the television program Inside the NBA on TNT. He is considered one of the greatest...",Texas
Shaquille O'Neal,Miami,,Miami,11826,18964014,Shaquille O'Neal,25.7616798,-80.1917902,"Shaquille Rashaun ""Shaq"" O'Neal, is a retired professional American basketball player who is a sports analyst on the television program Inside the NBA on TNT. He is considered one of the greatest...",Florida
Shaquille O'Neal,Baton Rouge,,Baton Rouge,11826,18964014,Shaquille O'Neal,30.4514677,-91.1871466,"Shaquille Rashaun ""Shaq"" O'Neal, is a retired professional American basketball player who is a sports analyst on the television program Inside the NBA on TNT. He is considered one of the greatest...",Louisiana
Jeffrey Dahmer,Milwaukee,,Milwaukee,11803,20831153,Jeffrey Dahmer,43.0389025,-87.9064736,"Jeffrey Lionel Dahmer, also known as the Milwaukee Cannibal or the Milwaukee Monster, was an American serial killer and sex offender who committed the rape, murder, and dismemberment of 17 men and...",Wisconsin
Jeffrey Dahmer,Doylestown,,Doylestown,11764,20567434,Jeffrey Dahmer,40.9700549,-81.6965168,"Jeffrey Lionel Dahmer, also known as the Milwaukee Cannibal or the Milwaukee Monster, was an American serial killer and sex offender who committed the rape, murder, and dismemberment of 17 men and...",Ohio
Miley Cyrus,Nashville,,Nashville,11558,19895867,Miley Cyrus,36.1626638,-86.7816016,"Miley Ray Hemsworth is an American singer, songwriter, and actress. After playing minor roles in the television series Doc and the film Big Fish in her childhood, she became a teen idol starring as...",Tennessee
Nikola Tesla,Colorado Springs,,Colorado Springs,11450,17396580,Nikola Tesla,38.8338816,-104.8213634,"Nikola Tesla was a Serbian-American inventor, electrical engineer, mechanical engineer, and futurist who is best known for his contributions to the design of the modern alternating current (AC)...",Colorado
Post Malone,Grapevine,,Grapevine,11317,19200455,Post Malone,32.9342919,-97.0780654,"Austin Richard Post, known professionally as Post Malone, is an American rapper, singer, songwriter and record producer. He has gained acclaim for blending musical genres, for his introspective...",Texas
George W. Bush,Crawford,,Crawford,11315,22305471,George W. Bush,31.5343308,-97.44307,George Walker Bush is an American politician and businessman who served as the 43rd president of the United States from 2001 to 2009. He had previously served as the 46th governor of Texas from 1995...,Texas
George W. Bush,Midland,,Midland,11315,22305471,George W. Bush,31.9973456,-102.0779146,George Walker Bush is an American politician and businessman who served as the 43rd president of the United States from 2001 to 2009. He had previously served as the 46th governor of Texas from 1995...,Texas
George W. Bush,Dallas,,Dallas,11301,22420846,George W. Bush,32.7766642,-96.7969879,George Walker Bush is an American politician and businessman who served as the 43rd president of the United States from 2001 to 2009. He had previously served as the 46th governor of Texas from 1995...,Texas
George W. Bush,Houston,,Houston,11301,22420846,George W. Bush,29.7604267,-95.3698028,George Walker Bush is an American politician and businessman who served as the 43rd president of the United States from 2001 to 2009. He had previously served as the 46th governor of Texas from 1995...,Texas
