"schoolName","state","link","text"
"HICKSVILLE HIGH SCHOOL","NY","https://www.hicksvillepublicschools.org/parents/code_of_conduct","All students are expected to give proper attention to personal cleanliness and to dress appropriately for school and school functions. Students and their parents have the primary responsibility for acceptable student dress and appearance. Teachers and all other district personnel should exemplify and reinforce acceptable student dress and help students develop an understanding of appropriate appearance in the school setting.

 

A student's dress, grooming and appearance, including hairstyle/color, jewelry, make‑up and nails, shall:

 

1.                  Be safe, appropriate and not disrupt or interfere with the educational process.  The changing styles of day to day, the different values of parents and students, as well as individual interpretation, prevent a detailed description that encompasses every eventuality.  However, scant or skimpy clothing is not considered appropriate dress for school.

2.                  Ensure that underwear is completely covered with outer clothing.

3.                  Include footwear at all times. Footwear that is a safety hazard will not be allowed.

4.                  Not include the wearing of hats in the classroom except for a medical or religious purpose.

5.                  Not include items that are vulgar, obscene, libelous or denigrate others on account of race, color, religion, creed, national origin, gender, sexual orientation or disability.

6.                  Not promote and/or endorse the use of alcohol, tobacco or illegal drugs and/or encourage other illegal or violent activities.

7.                  Be appropriate to a specific educational purpose and not inhibit their full and safe participation. (Ed.law 12:84)

 

Each building principal or his or her designee shall be responsible for informing all students and their parents of the student dress code at the beginning of the school year and any revisions to the dress code made during the school year.

 

Students who violate the student dress code shall be required to modify their appearance by covering or removing the offending item and, if necessary or practical, replacing it with an acceptable item. Any student who refuses to do so shall be subject to discipline, up to and including in-school suspension for the day. Any student who repeatedly fails to comply with the dress code shall be subject to further discipline, up to and including out-of-school suspension."
"RUSK H S","TX","https://www.ruskisd.net/uploaded/Rusk_High_School/Parents/Handbooks_and_Policies/2018-2019/RHS_Student_Handbook_18-19.pdf","The District’s dress code is established to teach grooming and hygiene, prevent disruption, and minimize
safety hazards. The student and parent may determine the student's personal dress and grooming
standards, provided that the student's dress and grooming meets the requirements of the student dress
code.
The principal/designee, in connection with the sponsor, coach, or other person in charge of an extracurricular
activity, may regulate the dress and grooming of students who participate in the activity if the
principal/designee reasonably believes that the student's dress or grooming:
1. Creates a hazard to the student's safety or to the safety of others.
2. Will prevent, interfere with, or adversely affect the purpose, direction, or effort required for the
activity to achieve its goal.
Dress Code Violations
1. If the student's dress or grooming is objectionable under these provisions, the
principal/designee shall request the student make appropriate corrections. In order that
students not miss valuable class time by going home to change clothing or waiting for a parent
to bring clothing, the student will be given alternate clothing to wear that is approved by school
administration.
2. If the student refuses to wear the alternative clothing or attempts to remove the clothing before
the end of the school day, the student may be subject to ISS (In-school suspension) or being sent
home. If a student chooses to go home because of a dress code issue, an unexcused absence will
be given for the classes missed.
3. Students who violate the dress code may be subject to immediate disciplinary action.
4. Students who violate provisions of the dress code relating to extra-curricular activities may be
removed or excluded from the extra-curricular activities for such period as the
principal/designee and activity sponsor may determine.
Attire
Student attire should be appropriate, decent, and non-disruptive. The school administration will
determine whether a student's attire is potentially disruptive.
Guidelines for students are as follows:
1. Wearing articles of clothing that promote gangs, alcohol, tobacco, or drugs is prohibited.
2. Clothing with language, pictures, or drawings, which may be interpreted as obscene, will not
be acceptable.
3. Immodest dress will not be allowed, which may include, but are not limited to: strapless
dresses, sundresses, see-through materials, tank tops, low cut dresses, blouses, or shirts,
inappropriate sleeveless shirts or mini-skirts, clothing which reveals a bare midriff or
undergarments. Shirts and blouses must cover the width of the shoulder. Judgment on the
modesty of a student’s dress lies with administration.
4. Headdress articles will not be permitted on campus. This includes but is not limited to caps,
hats, bandannas, toboggans, visors, and etc.
5. Sunglasses (except by written permission of physician) or improper eyewear will not be
permitted in any building.
6. All shirts, blouses or any top garment must be buttoned appropriately.
7. Shoes must be worn at all times; no house-shoes allowed.
8. Prohibited unusual or non-traditional jewelry includes nose wear such as rings or studs, or
other body piercing jewelry of any kind, with the exception of pierced ears for female
students.
9. Earrings may not be worn by male students. This includes clip earrings, pierced earrings or
studs, or any item used as a post in a pierced ear such as broom straws, pieces of plastic, etc.
10. Any attire judged to be a possible disruption will not be allowed.
11. All garments must meet minimum length requirements. The length is acceptable if the hem of
the garment is at the top of the kneecap. 
12. Exceptions to the dress code may be made for special events such as pep rallies, spirit days,
etc.
13. Gang related tattoos and insignias are forbidden. Excessive tattoos or if a student’s tattoo(s)
become a distraction to the educational environment, that student may be asked to cover said
tattoo(s).
14. Wearing any article of clothing in a way it was not intended is forbidden.
15. Excessively long T-shirts must be tucked in or not worn.
16. Pants must be worn at the waist. Belts must be worn as needed.
17. Pajamas/lounge pants are not allowed.
18. Blankets, pillows, stuffed animals, etc. are not to be brought to school.
19. Pants with holes in them are prohibited.
Grooming
Cleanliness and proper grooming are necessary for students to project a positive image, and personal
appearance affects behavior. Because of the importance of appearance, RISD has established these
guidelines to be followed:
1. Unusual hairstyles considered to be inappropriate in a school setting will not be permitted. This
also includes inappropriate hair coloring, style, length, and/or fad haircuts (ex. mohawks). All
styles considered to be potentially disruptive cannot be listed; therefore the school
administration will determine whether a particular style is to be considered disruptive and
inappropriate.
2. Hair length is deemed to be excessive if it is below the collar in the back and sides of the head,
and below the eyebrows in the front.
3. Designs cut into a student’s hair will not be permitted.
4. Facial hair that is neatly trimmed close to the face will be permitted.
5. Unusual facial make-up or adornments that may be considered to be a possible disruption will
not be allowed.
It is the responsibility of teachers and administrators to judge the appropriateness of a student's
attire and personal grooming. Students are encouraged to ask the opinion of school
administrators before purchasing questionable clothing or changing personal appearance in a way
that according to these guidelines might be considered inappropriate."
"MAY-PORT CG HIGH SCHOOL","ND","https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/209270/Student_Handbook--18-19.pdf"," (The use of Common Sense goes a long way)
Each student is responsible for dress that is neat, clean, safe and does not disrupt the educational process during the school day. No caps, hats,
shawls, bandanas or other head coverings will be worn in the school building. Chains have been defined as potential weapons and are not allowed as
a part of student dress. Accessories that could be deemed as harmful are prohibited. Clothing with offensive slogans or sayings is not acceptable. Any
clothing with alcohol or tobacco references of any kind are not permitted to be worn during the school day or at school functions. Garments covering
the upper torso must have shoulder straps on each shoulder at least two inches wide with no mid-riff showing. While standing or sitting, students
must have their entire torso covered by their garments. Bib overalls are not considered a garment covering the upper torso. Absolutely no visible
cleavage will be allowed. Shorts must have an in-seam of at least five inches. Dress and skirt length, including slits, must be within 3 inches of the
top of kneecap when standing. Pants should be free of any holes or tears above the knee. Any holes or tears below the knee need to be of reasonable
size and look appropriate for school. Special clothing may be required for some classes. All students must dress for physical education. Appropriate
clothing for winter bus rides is required for the health and safety of our students. Failure to comply will result in disciplinary action."
"EAST HIGH","UT","http://east.slcschools.org/students/documents/East-High-School-Student-Handbook.pdf","Students, teachers, and staff are expected to dress in a
manner that demonstrates they respect themselves
and the learning environment. Clothing should be
neat, clean, and appropriate for learning and weather
conditions. School administrators will determine
consequences for students who violate the dress code
and will provide appropriate due process. Parents
may be called to bring the student a suitable change
of clothing. Parents are also expected to observe the
dress code whenever they are in the building.
The following would be considered in violation of
the dress code:
 Garments that are low enough to reveal a
student’s underwear
 Clothing advertising drugs, alcohol, tobacco,
acts of violence, or lawlessness
 Clothing associated with gangs, illicit drugs,
or illegal substances,
 Clothing with offensive and/or vulgar
language and/or designs
 Clothing which calls attention to the body,
including bike pants, spandex, body suits,
sheer clothing or skin tight clothing
 Sunglasses worn in the building
 Short shorts, running shorts, or miniskirts (as
a rule of measurement, shorts hem should
reach the finger tips when arms are held
loosely at the side)
 Crop tops showing midriffs, tube or tank
tops, or halters
Coats worn in the building during
instructional time
 Belt tails that dangle
Absolutely nothing will be allowed at school that is
intended, recognized, or acknowledged by the Metro
Gang Task Force, to signify affiliation with,
participation in, or approval of a gang.
Students who do not follow the East High Dress code
will be allowed to purchase a T shirt or gym shorts
from the office for $5.00 apiece."
"NORTH FORT MYERS HIGH SCHOOL","FL","https://nfm.leeschools.net/our_school/dress_code","The purpose of the Dress Code is to encourage students to focus on the learning process without the distractions of unsuitable dress and grooming. Students shall maintain a clean, orderly appearance at all times. The responsibility for the personal appearance of the student and the adherence to the dress code policy rests with the parent/guardian and the student. Personal appearance shall not distract from the educational process. According to the School Board of Lee County, each Principal or designee has the authority to establish additional standards.

The following guidelines establish the minimum acceptable standards for student dress to be interpreted and enforced by the administration and staff at North Fort Myers High School. Students are required to comply with this dress code while on school grounds.

Shoes shall be worn at all times.
Apparel shall be adequate in both length and coverage to be considered appropriate for school. Skirts, dresses and shorts are to be at or below the knee, regardless of whether leggings are worn.
Pants shall be worn fastened and at the waist. It is unacceptable for undergarments to be exposed.
Shirts or blouses shall be appropriately fastened in accord with the design of that shirt or blouse. The length shall extend beyond the waist level so that midriff is not exposed in front or back.
Pajama attire of any kind, including pajama slippers or house shoes, are not permitted.
Transparent or see-through tops, bare midriff, strapless, low-cut clothing, or tops and outfits that provide minimum coverage or are of a suggestive nature are prohibited: halters, spaghetti straps, backless dresses or tops, tube tops, leggings, tank tops, muscle shirts, or any clothing which may be distracting are prohibited. See-through clothing is only permitted if attire is in dress code without it.
Apparel, emblems, insignias, badges, or symbols that promote the use of alcohol, drugs, tobacco, violence or any other illegal activity are prohibited.
Apparel or symbols which may be gang-related may not be displayed on a student's person or in the student's locker, vehicles or other locations on campus.
The wearing on campus of hats, caps, headgear, sweater caps, or sunglasses except in conjunction with designated school­-approved uniforms or at authorized athletic practices or activities is prohibited.
Clothing with slogans, advertising or symbols which are controversial, offensive to others, of an obscene nature or disrupts the educational setting is prohibited.
Long, oversized and/or sleeveless jerseys are prohibited. Shirts must be worn with sleeveless jerseys.
Adornments that are attached to exposed body parts may not be worn, if in the Principal’s judgment, they could cause injury, become a safety risk to a student, or may cause a disruption to the school environment. Only earrings and nose ring studs are permitted. Adornments attached to other exposed body parts may not be worn.
No holes or shreds in jeans or pants that expose skin above the knee.
Dress code will be checked daily and strongly enforced. Any student in violation of the dress code policy will be sent to Student Services. Failure to report will result in disciplinary consequences.

Note: The school administration reserves the right to appraise any current fashion or fad and determine whether it is appropriate for school wear. Students must be in full dress code compliance during regular school hours. Students who are representing North Fort Myers High School during school-related events are expected to be in appropriate dress as determined by the supervising adult. Lee County District Dress Code Policy is still the standard and will be enforced."
"TOMAHAWK HIGH","WI","https://www.tomahawk.k12.wi.us/families/handbooks/THS%20Student%20Handbook.pdf","Since education is the business of youth, appropriate dress and grooming become important assets for the
student in seeking their educational goals. Just as a successful person in the community considers it important
to be appropriately dressed and groomed, so also should a student be concerned with these matters. Factors such
as health, hygiene, safety and habits of self-discipline are considered essential as guidelines. Unusual and
bizarre dress or grooming can be a disruptive influence in the classroom and detrimental to the development of
a positive climate for teaching and learning. Appropriate dress and grooming outside the school building or
school activity does not necessarily meet the standards of appropriate Tomahawk High School dress code
guidelines. Students in our school must dress and be groomed to meet the following criteria:
1. Dress or grooming will not endanger the public health and safety of other students.
2. Dress or grooming will meet the general decency standards of our community and of our students
in Tomahawk High School.
3. Student dress or grooming will not be disruptive to the education of other students in the
classrooms or study halls and in no way hinder the educational process.
4. Special classes (shops, labs, etc.) may establish additional rules governing dress and hair. Safety of
students requires guidelines for shop classes, labs, etc.
5. All students will dress appropriately for physical education classes.
6. Footwear must be worn at all times.

The following things will not be allowed in our school:
1. Wearing of hats, bandannas, hoods or similar headwear between the hours of 8:05 A.M. and 3:30
P.M. on normal school days.
2. Wallet chains or chains which hang from clothing.
3. Wearing of indecent or inappropriate clothing that disrupts the educational atmosphere for both
students and staff.
4. Wearing of clothing with inappropriate sexual references.
5. Wearing of clothing with drug/alcohol slogans or advertising.
6. Wearing of coats or jackets unless approved due to uncomfortable temperature within the building.
7. Wearing of soiled (i.e. dirty/smelly) clothes.
8. Wearing of insignia, buttons, etc., which are derogatory to other persons, groups, etc.
9. Students without footwear.
10.Wearing of face paint.
11.Clothing articles that cause undue school maintenance problems, such as heavy boots that cause
excessive floor marking.
12.Carrying backpacks, shoulder bags, gym bags or purses during the school day. Carrying protective
cases for electronic devices and/or electronic tablets is allowed.
13.Wearing of clothing, which does not cover undergarments (boxer shorts, underwear, bra straps,
etc…).
14.Wearing of clothing, which inappropriately exposes sections of the body. (ie. short shorts, or shirts
that fail to cover the midriff)"
"PRIOR LAKE HIGH SCHOOL","MN","https://www.priorlake-savage.k12.mn.us/uploaded/PLHS/17-18_PLHS_Student_Handbook.pdf?1503332307986","We recognize that the student body is diverse and that they express themselves through their appearance.
However, there must be limits to ensure that students and staff feel comfortable and safe in the school
environment. There are certain things that are inappropriate and do not belong in school. Students should not
wear:
 Clothes that are provocative, bear profanity, advertise tobacco, drugs or alcohol, display skulls or death
symbols, demean a person’s race, gender or other personal beliefs, or cause disruption of the educational
process
 Spaghetti-strap/tank top shirts that allow undergarments to show
 Shirts that reveal skin (including when raising a hand in class or leaning over a desk) and/or revealing
necklines
 Short-shorts and skirts that provide only a minimal amount of coverage
 Pants and shorts that hang low and show undergarments and/or bare skin
 Clothing with holes or rips in inappropriate areas including the intent to expose undergarments
 Headwear of any type. For purposes of this policy “headwear” includes, but is not limited to; scarves,
baseball caps, headband, hats, stocking caps, winter headwear, hoods, and bandanas. This policy is usually
relaxed during Homecoming and Spirit Weeks. Headwear may not be worn or visible unless they are related
to religious practice or function, and/or are needed as a matter of health.
 Any other item of apparel deemed inappropriate by an administrator
13
Students who are in violation of this policy will be asked to change out of the offensive clothing. Other options
may include sending the student home, wearing PE clothes, or other disciplinary actions. If you feel your
clothing is questionable, you can check in at the office with a principal or counselor before the start of the
school day."
"OOLOGAH-TALALA HS","OK","http://www.oologah.k12.ok.us/vimages/shared/vnews/stories/521e4512053f6/OTPS%20Secondary%20Student%20Handbook%202018.2019.docx.pdf","A student’s appearance should not distract anyone from the important task of learning. Research has proven better dress
positively affects not only school environment but also academic achievement. The following dress code will be required
of all students desiring to attend Oologah-Talala High School:
 Hemlines of skirts (including cheerleading skirts) and shorts must be no higher than six (6) inches above the
knees (which is approximately a 5” inseam).
 Any type of leggings must be worn under a dress/skirt/shorts or by wearing with a buttoned shirt/sweater that
meets the 6” length requirement from above the knees as written for short hemlines and skirts.
 Tank-top type shirts may be worn if no cleavage, excessive back, or undergarment is showing. The strap of
this type of shirt must be a minimum of 2 inches wide at the thinnest part of the strap. Students may not wear
any top that “rides up” when they are moving or are seated. Any time a student’s torso (including chest, belly,
side and back) is not completely covered, he/she is out of dress code.
 Clothing displaying disruptive or suggestive lettering or symbols is not appropriate. Items advertising alcoholic
beverages, drugs or tobacco are not permitted. In addition, any sexually suggestive clothing will be prohibited.
 Hats, hoods, headscarves, and sunglasses are not to be worn inside the school building during the school
day. If any of these items are not removed, a dress code violation will be recorded; the item in question may
be confiscated. Medical exceptions may be made by the administration.
 Any gang related clothing is prohibited. This may include but is not limited to sagging and bandanas. Sagging
occurs anytime boxers or underwear is worn above the top of the pants.
 Students are not to wear clothing that has tears or holes where skin is revealed six (6) inches above the
knees. If clothes are patched, they must be done so permanently. Safety pins, staples, or anything less than a
piece of cloth securely sewn eliminating a hole is prohibited.
 Wallet chains are not allowed.
 No hair paint unless approved by administration.
 Facial piercings including eyebrow, lip, chin, cheek, below lip, forehead, tongue, nose or other exposed areas
deemed unacceptable by the administration are not allowed.
Enforcement of Dress Code
Provisions of the dress code are applicable to the school day and to school-related activities. The building principal for a
specific school-related activity on a single-event basis may authorize exception or modification of a provision of the dress
code.
Discipline for Dress Code violations will be handled through the administration office. Students will be required to adhere to
dress code immediately. Not adhering to dress code may lead to the student being sent home."
"JUDITH GAP HIGH SCHOOL","MT","https://docs.google.com/document/d/1jk1vC6zX40S-QxBZgzh6Tzr_E8B7ERC-SDZmkMRAVJs/edit","The District recognizes that a student’s choice of dress and grooming habits demonstrate personal style and preference.  The District has the responsibility to ensure proper and appropriate conditions for learning, along with protecting the health and safety of its student body.  Even though the schools will allow a wide variety of clothing styles, dress and grooming must not materially or substantially disrupt the educational process of the school or create a health or safety hazard for students, staff, or others. The Superintendent shall establish procedures for the monitoring of student dress and grooming in school or while engaging in extracurricular activities. 
Administrative Guidelines for Student Dress
The school's job is to help students become productive and successful adults. Not all rules are written. This is the students’ workplace. Part of being in a workplace is knowing what is appropriate and what is not. The teachers and the staff have a responsibility to help students learn the unwritten rules of what is right and appropriate for the workplace.
As there is a wide interpretation of tank top shirts and dresses, judgment of appropriateness will be based on the modesty of the necklines, the width of the shoulder strap, and the length of the hem.  Skirt and short(s) length must not be excessively short, as to disrupt or exceed generally held notions of modesty.  Most of the shoulder, neck, and legs need to be covered.  The following is not acceptable for student dress:
See through clothing 
Clothing that allows a bare midriff 
Clothing that is revealing of undergarments, including spandex and boxer shorts
Clothing that has cut-outs or holes which expose any portion of the midriff or private parts of the body and/or underwear
Heavy chains, spiked collars, spiked wristbands, and items that are dangerous to others
Clothing that promotes or alludes to alcohol, tobacco, drugs, gangs or other subject matter that is inappropriate for school     
Any form of dress or hairstyle which is considered contrary to good hygiene, or which is distracting or disruptive, or potentially hazardous in laboratory situations (VoAg, Industrial Arts, and Science) will not be permitted.
Hats or caps may not be worn in the school or in a classroom at any time, except during special events (such as Spirit Days).  Those special events must be approved by the District Superintendent. 
We encourage you as students to realize that wearing a hat or cap in the school building is not appropriate at some functions.  These functions include: activities or extensions of academic and athletic programs of the Judith Gap School.   
"
"LA FERIA H S","TX","http://hs.laferiaisd.org/UserFiles/Servers/Server_82225/File/Parent%20Information/La%20Feria%20HS%20Student%20Handbook%202018-19.pdf","The district’s dress code is established to teach grooming and hygiene, prevent disruption, and
minimize safety hazards. Students and parents may determine a student’s personal dress and
grooming standards, provided that they comply with the following:
Clothes (shirts, caps pants, buttons, etc.) advertising or advocating inappropriate life styles such
as; gangs, drugs, or any type of illegal activity. Also, cloths displaying drugs, suicide, alcohol,
skulls, death, knives, chains, guns or obscene or questionable printing are not conducive to an
educational climate and shall not be worn to school or to school sponsored activities both in La
Feria or visiting schools. No dark imagery will be allowed, i.e. skulls, death images, ghosts,
daggers, Satanic etc.
All students must be well groomed; hair and dress wear for both boys and girls are to be
conservative and conventional in style. Hair may be reasonably full in style and must reasonably
blend in length, be neat, clean, and well groomed. 
 Pants must be hemmed and must not drag on the floor nor be torn. Pants must fit at the
waist. If pants are not secured, students must use a belt. Belt should be secured properly.
 Oversized or torn clothing will not be allowed.
 Hair should be conservative in style. No heavy spiked hair over one inch will be allowed.
Extreme styles that include shaved, bushy, cut designs, stripes, shaved eyebrows, or tails
will not be allowed. Other hairstyles (Mohawk, faux-hawk, etc.) and color (2 tone dye),
which may cause teachers and students to be distracted from regular class routine, will
not be allowed.
 Button-down shirts must fit and be buttoned properly.
 Shirts that are excessively long must be tucked in.
 Walking shorts must be reasonable and prudent in appearance with no fraying. Jams,
coaching shorts, beachwear, biker shorts, or any shorts made of spandex (stretch)
material may not be worn to class. Shorts should be no more than 3 inches above the
knee).
 Hats/caps are not allowed inside the building (with exception of administrative approval
for fundraisers). When used outside, hats and caps must be properly worn.
 “Hoodies” or jackets, shirts, or sweaters that have a hood can be worn but the “hood”
component shall not be worn while the student is inside any building on campus.
 Heavy chains or large necklaces may not be worn; wallets with chains are not allowed
 No headbands or bandanas may be worn.
 Bandanas are never to be displayed.
 No thin t-shirts, sleeveless, or under shirts may be worn without being covered up with a
school appropriate shirt.
 Body piercing paraphernalia in the form of studs, spacers, rings, or spikes is not allowed
(i.e. tongue, navel, eyebrows, etc.).
 No shower shoes (flip-flops), house shoes, or sock shoes are allowed.
 No trench coats may be worn.
 Appropriate undergarments must be worn and must not be visible.
 Shaved eyebrows will not be allowed.
 Cosmetics must be used with discretion.
Dress Code for Boys
 No heavy spiked hair over one inch will be allowed. Extreme styles that include shaved,
bushy, cut designs, stripes, or tails will not be allowed. Other hairstyles (Mohawk, fauxhawk,
etc.) and color, which may cause teachers and students to be distracted from
regular class routine, will not be allowed. Administrative decision is final.
 Sideburns may not be longer than the bottom of the ear lobe and thinned and trimmed
and also may not be cut higher than the top of the ear.
 Boys’ hair may not extend past the top of the collar at the back and extend past the ear
lobe. It must be tapered at the back and must not be longer than the top and must not
extend past the top of the eyebrows.
 Beards and goatees are not permitted. Students are expected to be properly shaved.
 Mustaches must be trimmed and may not extend below the corner of the mouth
 Button-down dress shirts must be buttoned properly and may be left untucked; however,
the shirt length must not cover the back pants pockets and be neat in appearance;
administrative discretion is final.
 Earrings or plugs are not allowed.
Dress Code for Girls
 Tights/leggings are allowed if top meets the standard dress/skirt length no shorter than (3”)
above the knee
 Cosmetics must be used with discretion.
 Low necklines or off the shoulder tops, blouses, dresses, and sweaters are not permitted.
 No thin t-shirts, spaghetti strap or see-through blouses may be worn.
 Blouses/tops should extend past the pant waistband-no midriff or skin shown is allowed
 Blouses must be one inch over pant, when sitting.
 Dresses/Skirts/Skorts lengths must be no shorter than three (3”) inches above the knee.
Administrative decision is final.
Administration will make the final decision on dress code.
Students in violation of the dress code may be sent home to change or isolated from the
student body.
Obviously, situations may arise that have not been addressed before. In these cases,
administrative judgment will be used and decisions will be made on a case by case basis.
If the principal determines that a student’s grooming or clothing violates the school’s dress
code, the student will be given an opportunity to correct the problem at school. If not
corrected, the student may be assigned to in-school suspension for the remainder of the day,
until the problem is corrected, or until a parent or designee brings an acceptable change of
clothing to the school. Repeated offenses may result in more serious disciplinary action in
accordance with the Student Code of Conduct."
