name,year,party,white,male,whiteMale,RWB,redHex,whiteHex,blueHex,other1Hex,other2Hex,other3Hex,image
John Delaney,2020,Democratic,Y,Y,TRUE,Y,#d74045,#ffffff,#014e7a,#87c3e8,,,2020-delaney.jpg
Richard Ojeda,2020,Democratic,Y,Y,TRUE,Y,#cb2026,#ffffff,#0d4c8f,#262626,,,2020-ojeda.jpg
Andrew Yang,2020,Democratic,N,Y,FALSE,Y,#e4304b,#ffffff,#21366f,#67aedc,,,2020-yang.jpg
Julián Castro,2020,Democratic,N,Y,FALSE,Y,,#ffffff,#000134,#1177cb,,,2020-castro.jpg
Marianne Williamson,2020,Democratic,Y,N,FALSE,N,,#ffffff,,#201648,#e280a6,,2020-williamson.jpg
Kamala Harris,2020,Democratic,N,N,FALSE,N,#f44e42,,,#fce07d,#402f95,,2020-harris.jpg
Elizabeth Warren,2020,Democratic,Y,N,FALSE,N,#b51a22,,#232443,#b7e4cf,,,2020-warren.jpg
Tulsi Gabbard,2020,Democratic,N,N,FALSE,Y,#ce2f2b,,#122b49,#fd9609,#a2aebe,,2020-gabbard.jpg
Jay Inslee,2020,Democratic,Y,Y,TRUE,Y,#db363a,#ffffff,#0c3048,#497a8b,#2d6a4b,,2020-inslee.jpg
Amy Klobuchar,2020,Democratic,Y,N,FALSE,N,,,#00448d,#0b9e46,#fcfff6,,2020-klobuchar.jpg
John Hickenlooper,2020,Democratic,Y,Y,TRUE,N,,#ffffff,#00adef,#520b75,,,2020-hickenlooper.jpg
Bernie Sanders,2020,Democratic,Y,Y,TRUE,Y,#ff2245,#ffffff,#0170cc,,,,2020-sanders.jpg
Kirsten Gillibrand,2020,Democratic,Y,N,FALSE,N,,#ffffff,#12294b,#fe256c,,,2020-gillibrand.jpg
Wayne Messam,2020,Democratic,N,Y,FALSE,Y,#ca261a,#ffffff,#0071a5,,,,2020-messam.jpg
Tim Ryan,2020,Democratic,Y,Y,TRUE,Y,#dd0023,#ffffff,#0097d8,,,,2020-ryan.jpg
