year,rwb_n,rwb_y,total,percent_n,percent_y
2020,15,22,37,0.405,0.595
2016,2,25,27,0.074,0.926
2012,1,16,17,0.059,0.941
2008,3,22,25,0.120,0.880
2004,3,12,15,0.200,0.800
2000,2,14,16,0.125,0.875
1996,4,12,16,0.250,0.750
1992,2,11,13,0.154,0.846
1988,3,14,17,0.176,0.824
1984,5,7,12,0.417,0.583
1980,7,11,18,0.389,0.611
1976,5,16,21,0.238,0.762
1972,8,15,23,0.348,0.652
1968,5,9,14,0.357,0.643
