bbrID,Date,Tm,Opp,TRB,AST,STL,BLK,PTS,GmSc,Season,Playoffs,Year,GameIndex,GmScMovingZ,GmScMovingZTop2Delta,Date2,GmSc2,GmScMovingZ2
breweco01,2014-04-11,MIN,HOU,2,1,6,1,51,40.8,2013-14,false,2014,482,5.02,0.7,2018-03-16,24.3,4.32
brewero02,2012-01-25,CHI,IND,10,5,3,0,20,20.6,2011-12,false,2012,412,3.47,0.98,2009-03-01,24.5,2.49
brezepr01,2008-02-24,TOR,NYK,3,0,0,1,11,9.9,2007-08,false,2008,308,3.03,0.43,2005-12-19,23.6,2.6
brickfr01,1985-03-20,SEA,GSW,12,7,1,1,22,20.9,1984-85,false,1985,67,4.46,1.17,1991-03-22,28.5,3.29
bridgmi01,2021-01-09,PHO,IND,3,2,0,1,34,29.2,2020-21,false,2021,164,2.88,0.03,2022-04-26,29.2,2.85
bridgmi02,2019-11-22,CHO,WAS,8,0,3,0,31,25.3,2019-20,false,2020,95,2.96,0.02,2022-01-17,36.6,2.94
brissos01,2021-05-16,IND,TOR,10,3,0,0,31,26.9,2020-21,false,2021,39,3.01,0.49,2022-03-20,24.4,2.52
brockjo01,2011-03-01,MIL,DET,8,2,1,0,8,11.6,2010-11,false,2011,99,3.31,0.21,2010-02-01,11.7,3.1
brogdma01,2018-01-22,MIL,PHO,4,2,3,1,32,25.9,2017-18,false,2018,124,2.65,0.11,2020-08-22,33.4,2.54
brookaa01,2016-12-26,IND,CHI,4,7,0,1,19,19.6,2016-17,false,2017,613,4.16,0.7,2014-03-19,27.6,3.46
brookdi01,2018-04-11,MEM,OKC,7,1,2,0,36,28.6,2017-18,false,2018,81,3.27,0.74,2021-12-19,26.7,2.53
brookke01,1992-11-19,DEN,DET,2,1,0,0,16,14.2,1992-93,false,1993,42,3.88,0.59,1993-04-21,12.2,3.29
brookma01,2018-04-04,MEM,NOP,4,7,2,0,25,22.4,2017-18,false,2018,173,3.35,0.15,2018-04-08,21.7,3.2
brooksc01,1995-02-14,HOU,LAC,4,4,0,0,23,21.4,1994-95,false,1995,525,3.93,0.41,1989-02-01,21.4,3.52
brownbo02,2008-11-23,SAC,LAL,0,7,2,0,21,16.4,2008-09,false,2009,12,3.39,0.21,2017-04-10,13.2,3.18
brownbr01,2021-02-23,BRK,SAC,4,2,1,0,29,27.5,2020-21,false,2021,164,3.32,0.55,2022-02-14,26.5,2.77
brownch01,1991-03-31,CLE,PHI,5,4,1,0,26,25.3,1990-91,false,1991,139,4.41,0.41,1990-01-06,26.0,4
brownde01,1992-11-25,BOS,WSB,7,16,4,0,22,33.8,1992-93,false,1993,140,3.63,0.29,1995-02-21,37.0,3.34
brownde02,2009-11-09,NOH,LAC,5,2,3,0,25,23.3,2009-10,false,2010,450,4,0.7,2007-04-10,23.7,3.3
brownde04,2010-01-16,CHA,PHO,2,1,2,0,18,13.2,2009-10,false,2010,27,3.24,0.13,2012-02-07,18.2,3.11
brownja02,2018-04-22,BOS,MIL,8,1,3,0,34,27.1,2017-18,true,2018,168,2.81,0.1,2016-11-03,15.8,2.71
brownke01,2003-11-07,BOS,NJN,6,2,2,0,18,17.2,2003-04,false,2004,89,3.92,0.52,2003-01-18,15.2,3.4
brownkw01,2004-03-17,WAS,SAC,19,3,2,0,30,34.0,2003-04,false,2004,201,4.25,0.56,2011-04-08,21.8,3.69
brownlo01,2015-03-18,MIN,TOR,2,5,3,0,8,12.8,2014-15,false,2015,39,3.14,0.42,2015-03-23,11.4,2.72
brownma02,2016-03-04,BRK,DEN,8,7,0,0,21,22.5,2015-16,false,2016,91,3.71,0.46,2016-04-10,21.0,3.25
brownmi01,1989-12-23,UTA,SAS,6,1,1,1,22,21.8,1989-90,false,1990,202,4.29,0.7,1991-12-17,22.2,3.59
brownmo01,2021-05-16,OKC,LAC,18,3,0,7,24,31.1,2020-21,false,2021,51,3.88,1.2,2021-03-27,23.3,2.68
brownpj01,1999-02-20,MIA,HOU,15,2,2,1,24,27.4,1998-99,false,1999,426,3.22,0.04,1996-04-17,28.1,3.18
brownra02,1993-04-23,SAC,POR,7,5,3,2,27,26.7,1992-93,false,1993,129,4.16,0.42,1992-11-10,24.6,3.74
brownsh01,2008-11-03,CHA,DET,1,3,4,1,16,18.7,2008-09,false,2009,46,3.88,0.06,2010-02-16,24.5,3.82
brownst02,2019-03-31,MIL,ATL,9,3,3,1,27,22.1,2018-19,false,2019,109,3.74,0.27,2021-03-22,20.5,3.47
brownti01,2005-02-07,LAL,ATL,4,3,1,1,27,21.0,2004-05,false,2005,103,4.06,0.19,2003-04-11,19.3,3.87
