id,terrestrial_date,sol,ls,month,min_temp,max_temp,pressure,wind_speed,atmo_opacity
1814,2017-12-05,1895,96,Month 4,-78,-29,814,NaN,Sunny
1811,2017-12-04,1894,96,Month 4,-79,-28,815,NaN,Sunny
1812,2017-12-03,1893,95,Month 4,-79,-25,816,NaN,Sunny
1809,2017-12-02,1892,95,Month 4,-81,-29,817,NaN,Sunny
1810,2017-12-01,1891,94,Month 4,-80,-25,819,NaN,Sunny
1808,2017-11-30,1890,94,Month 4,-79,-28,821,NaN,Sunny
1806,2017-11-29,1889,93,Month 4,-80,-28,822,NaN,Sunny
1807,2017-11-27,1888,93,Month 4,-79,-25,823,NaN,Sunny
1802,2017-11-26,1887,92,Month 4,-79,-26,824,NaN,Sunny
1805,2017-11-25,1886,92,Month 4,-79,-27,826,NaN,Sunny
1804,2017-11-24,1885,91,Month 4,-79,-30,827,NaN,Sunny
1799,2017-11-23,1884,91,Month 4,-79,-29,829,NaN,Sunny
1800,2017-11-22,1883,91,Month 4,-78,-28,830,NaN,Sunny
1801,2017-11-21,1882,90,Month 4,-78,-31,831,NaN,Sunny
1803,2017-11-20,1881,90,Month 4,-79,-28,832,NaN,Sunny
1798,2017-11-19,1880,89,Month 3,-79,-30,833,NaN,Sunny
1796,2017-11-18,1879,89,Month 3,-79,-31,834,NaN,Sunny
1795,2017-11-17,1878,88,Month 3,-79,-29,835,NaN,Sunny
1797,2017-11-16,1877,88,Month 3,-79,-30,837,NaN,Sunny
1794,2017-11-15,1876,87,Month 3,-79,-29,838,NaN,Sunny
1793,2017-11-14,1875,87,Month 3,-79,-23,839,NaN,Sunny
1792,2017-11-13,1874,86,Month 3,-80,-29,840,NaN,Sunny
1790,2017-11-12,1873,86,Month 3,-79,-25,842,NaN,Sunny
1791,2017-11-11,1872,86,Month 3,-79,-29,843,NaN,Sunny
1789,2017-11-10,1871,85,Month 3,-80,-30,844,NaN,Sunny
1788,2017-11-09,1870,85,Month 3,-81,-29,845,NaN,Sunny
1787,2017-11-08,1869,84,Month 3,-81,-24,846,NaN,Sunny
1786,2017-11-07,1868,84,Month 3,-80,-24,848,NaN,Sunny
1784,2017-11-06,1867,83,Month 3,-78,-24,848,NaN,Sunny
1785,2017-11-05,1866,83,Month 3,-80,-28,850,NaN,Sunny
1783,2017-11-04,1865,82,Month 3,-80,-31,852,NaN,Sunny
1782,2017-11-03,1864,82,Month 3,-82,-22,852,NaN,Sunny
1781,2017-11-02,1863,81,Month 3,-80,-30,853,NaN,Sunny
1777,2017-11-01,1862,81,Month 3,-81,-30,854,NaN,Sunny
1780,2017-10-31,1861,81,Month 3,-79,-29,855,NaN,Sunny
1778,2017-10-30,1860,80,Month 3,-80,-31,857,NaN,Sunny
1779,2017-10-29,1859,80,Month 3,-79,-30,857,NaN,Sunny
1775,2017-10-28,1858,79,Month 3,-81,-28,857,NaN,Sunny
1776,2017-10-27,1857,79,Month 3,-80,-30,858,NaN,Sunny
1774,2017-10-26,1856,78,Month 3,-80,-28,859,NaN,Sunny
1773,2017-10-25,1855,78,Month 3,-78,-32,861,NaN,Sunny
1772,2017-10-24,1854,77,Month 3,-80,-26,861,NaN,Sunny
1771,2017-10-23,1853,77,Month 3,-80,-32,862,NaN,Sunny
1769,2017-10-22,1852,77,Month 3,-80,-31,863,NaN,Sunny
1767,2017-10-20,1851,76,Month 3,-87,-30,864,NaN,Sunny
1768,2017-10-19,1850,76,Month 3,-80,-30,864,NaN,Sunny
1770,2017-10-18,1849,75,Month 3,-80,-24,864,NaN,Sunny
1766,2017-10-17,1848,75,Month 3,-80,-28,865,NaN,Sunny
1764,2017-10-16,1847,74,Month 3,-80,-30,866,NaN,Sunny
1765,2017-10-15,1846,74,Month 3,-80,-30,868,NaN,Sunny
1763,2017-10-14,1845,73,Month 3,-80,-29,868,NaN,Sunny
1762,2017-10-13,1844,73,Month 3,-81,-28,869,NaN,Sunny
1760,2017-10-12,1843,72,Month 3,-80,-29,869,NaN,Sunny
1761,2017-10-11,1842,72,Month 3,-79,-27,869,NaN,Sunny
1759,2017-10-10,1841,72,Month 3,-77,-32,870,NaN,Sunny
1758,2017-10-09,1840,71,Month 3,-77,-29,871,NaN,Sunny
1757,2017-10-08,1839,71,Month 3,-80,-30,872,NaN,Sunny
1754,2017-10-07,1838,70,Month 3,-79,-27,872,NaN,Sunny
1756,2017-10-06,1837,70,Month 3,-81,-28,872,NaN,Sunny
1755,2017-10-05,1836,69,Month 3,-81,-29,873,NaN,Sunny
1753,2017-10-04,1835,69,Month 3,-80,-31,873,NaN,Sunny
1752,2017-10-03,1834,68,Month 3,-80,-25,875,NaN,Sunny
1751,2017-10-02,1833,68,Month 3,-81,-30,875,NaN,Sunny
1750,2017-10-01,1832,68,Month 3,-84,-30,875,NaN,Sunny
1747,2017-09-30,1831,67,Month 3,-80,-26,876,NaN,Sunny
1748,2017-09-29,1830,67,Month 3,-80,-23,877,NaN,Sunny
1749,2017-09-28,1829,66,Month 3,-78,-29,877,NaN,Sunny
1746,2017-09-27,1828,66,Month 3,-80,-27,878,NaN,Sunny
1745,2017-09-26,1827,65,Month 3,-80,-28,879,NaN,Sunny
1744,2017-09-25,1826,65,Month 3,-80,-26,878,NaN,Sunny
1741,2017-09-24,1825,64,Month 3,-80,-27,878,NaN,Sunny
1742,2017-09-23,1824,64,Month 3,-80,-28,879,NaN,Sunny
1743,2017-09-22,1823,64,Month 3,-80,-28,879,NaN,Sunny
1739,2017-09-21,1822,63,Month 3,-78,-27,881,NaN,Sunny
1740,2017-09-20,1821,63,Month 3,-81,-29,882,NaN,Sunny
1738,2017-09-19,1820,62,Month 3,-79,-29,881,NaN,Sunny
1737,2017-09-18,1819,62,Month 3,-82,-28,880,NaN,Sunny
1736,2017-09-17,1818,61,Month 3,-81,-25,881,NaN,Sunny
1735,2017-09-16,1817,61,Month 3,-80,-29,882,NaN,Sunny
1734,2017-09-15,1816,60,Month 3,-82,-30,882,NaN,Sunny
1733,2017-09-13,1815,60,Month 3,-81,-29,881,NaN,Sunny
1732,2017-09-12,1814,59,Month 2,-80,-26,881,NaN,Sunny
1731,2017-09-11,1813,59,Month 2,-80,-27,881,NaN,Sunny
1730,2017-09-10,1812,59,Month 2,-79,-23,882,NaN,Sunny
1727,2017-09-09,1811,58,Month 2,-79,-25,882,NaN,Sunny
1729,2017-09-08,1810,58,Month 2,-78,-25,883,NaN,Sunny
1728,2017-09-07,1809,57,Month 2,-80,-25,884,NaN,Sunny
1726,2017-09-06,1808,57,Month 2,-79,-26,884,NaN,Sunny
1725,2017-09-05,1807,56,Month 2,-78,-23,884,NaN,Sunny
1724,2017-09-04,1806,56,Month 2,-80,-25,884,NaN,Sunny
1721,2017-09-03,1805,55,Month 2,-78,-27,883,NaN,Sunny
1720,2017-09-02,1804,55,Month 2,-78,-29,883,NaN,Sunny
1723,2017-09-01,1803,55,Month 2,-78,-25,882,NaN,Sunny
1722,2017-08-31,1802,54,Month 2,-79,-26,882,NaN,Sunny
1719,2017-08-30,1801,54,Month 2,-80,-21,882,NaN,Sunny
1718,2017-08-29,1800,53,Month 2,-80,-24,883,NaN,Sunny
1717,2017-08-28,1799,53,Month 2,-78,-24,883,NaN,Sunny
1716,2017-08-27,1798,52,Month 2,-79,-25,883,NaN,Sunny
1713,2017-08-26,1797,52,Month 2,-79,-27,884,NaN,Sunny
1715,2017-08-25,1796,51,Month 2,-80,-23,883,NaN,Sunny
1714,2017-08-24,1795,51,Month 2,-81,-19,882,NaN,Sunny
1712,2017-08-23,1794,50,Month 2,-80,-25,883,NaN,Sunny
1711,2017-08-22,1793,50,Month 2,-80,-22,883,NaN,Sunny
1710,2017-08-21,1792,50,Month 2,-80,-27,883,NaN,Sunny
1709,2017-08-20,1791,49,Month 2,-79,-23,882,NaN,Sunny
1707,2017-08-19,1790,49,Month 2,-81,-22,882,NaN,Sunny
1708,2017-08-18,1789,48,Month 2,-79,-19,881,NaN,Sunny
1706,2017-08-17,1788,48,Month 2,-79,-21,881,NaN,Sunny
1705,2017-08-16,1787,47,Month 2,-79,-26,881,NaN,Sunny
1704,2017-08-14,1785,46,Month 2,-77,-20,881,NaN,Sunny
1702,2017-08-13,1784,46,Month 2,-80,-22,883,NaN,Sunny
1703,2017-08-12,1783,45,Month 2,-79,-23,879,NaN,Sunny
1701,2017-08-11,1782,45,Month 2,-78,-22,878,NaN,Sunny
1700,2017-08-10,1781,45,Month 2,-78,-22,879,NaN,Sunny
1699,2017-08-09,1780,44,Month 2,-77,-20,879,NaN,Sunny
1698,2017-08-07,1779,44,Month 2,-78,-23,878,NaN,Sunny
1697,2017-08-06,1778,43,Month 2,-81,-23,877,NaN,Sunny
1695,2017-08-05,1777,43,Month 2,-79,-22,877,NaN,Sunny
1696,2017-08-04,1776,42,Month 2,-79,-24,877,NaN,Sunny
1694,2017-08-03,1775,42,Month 2,-80,-22,877,NaN,Sunny
1693,2017-08-02,1774,41,Month 2,-79,-18,877,NaN,Sunny
1685,2017-08-01,1773,41,Month 2,-78,-22,876,NaN,Sunny
1681,2017-07-31,1772,40,Month 2,-78,-20,876,NaN,Sunny
1692,2017-07-30,1771,40,Month 2,-79,-22,876,NaN,Sunny
1686,2017-07-29,1770,39,Month 2,-79,-19,875,NaN,Sunny
1689,2017-07-28,1769,39,Month 2,-76,-23,875,NaN,Sunny
1683,2017-07-27,1768,39,Month 2,-78,-22,875,NaN,Sunny
1691,2017-07-26,1767,38,Month 2,-77,-22,874,NaN,Sunny
1688,2017-07-25,1766,38,Month 2,-79,-17,873,NaN,Sunny
1690,2017-07-24,1765,37,Month 2,-77,-20,873,NaN,Sunny
1682,2017-07-23,1764,37,Month 2,-79,-18,872,NaN,Sunny
1680,2017-07-22,1763,36,Month 2,-78,-20,873,NaN,Sunny
1687,2017-07-21,1762,36,Month 2,-77,-20,872,NaN,Sunny
1684,2017-07-20,1761,35,Month 2,-77,-20,872,NaN,Sunny
1679,2017-07-19,1760,35,Month 2,-78,-18,872,NaN,Sunny
1678,2017-07-18,1759,34,Month 2,-77,-20,871,NaN,Sunny
1677,2017-07-17,1758,34,Month 2,-78,-20,871,NaN,Sunny
1676,2017-07-16,1757,33,Month 2,-78,-21,871,NaN,Sunny
1675,2017-07-15,1756,33,Month 2,-78,-23,871,NaN,Sunny
1674,2017-07-14,1755,32,Month 2,-77,-22,870,NaN,Sunny
1673,2017-07-13,1754,32,Month 2,-78,-20,870,NaN,Sunny
1672,2017-07-12,1753,32,Month 2,-76,-16,868,NaN,Sunny
1671,2017-07-11,1752,31,Month 2,-80,-16,867,NaN,Sunny
1670,2017-07-10,1751,31,Month 2,-78,-23,867,NaN,Sunny
1669,2017-07-09,1750,30,Month 2,-77,-17,867,NaN,Sunny
1667,2017-07-08,1749,30,Month 2,-76,-21,867,NaN,Sunny
1668,2017-07-07,1748,29,Month 1,-79,-19,867,NaN,Sunny
1666,2017-07-06,1747,29,Month 1,-79,-16,866,NaN,Sunny
1665,2017-07-05,1746,28,Month 1,-76,-16,866,NaN,Sunny
1664,2017-07-04,1745,28,Month 1,-78,-19,865,NaN,Sunny
1663,2017-07-03,1744,27,Month 1,-78,-22,863,NaN,Sunny
1660,2017-07-02,1743,27,Month 1,-78,-21,863,NaN,Sunny
1661,2017-06-30,1742,26,Month 1,-77,-12,865,NaN,Sunny
1659,2017-06-29,1741,26,Month 1,-78,-18,863,NaN,Sunny
1662,2017-06-28,1740,25,Month 1,-78,-21,861,NaN,Sunny
1658,2017-06-27,1739,25,Month 1,-77,-22,861,NaN,Sunny
1657,2017-06-26,1738,24,Month 1,-78,-22,861,NaN,Sunny
1656,2017-06-25,1737,24,Month 1,-78,-19,861,NaN,Sunny
1654,2017-06-24,1736,23,Month 1,-77,-16,860,NaN,Sunny
1653,2017-06-23,1735,23,Month 1,-78,-13,861,NaN,Sunny
1655,2017-06-22,1734,23,Month 1,-78,-22,859,NaN,Sunny
1652,2017-06-21,1733,22,Month 1,-77,-21,859,NaN,Sunny
1651,2017-06-20,1732,22,Month 1,-78,-24,858,NaN,Sunny
1649,2017-06-19,1731,21,Month 1,-78,-24,857,NaN,Sunny
1650,2017-06-18,1730,21,Month 1,-77,-20,858,NaN,Sunny
1646,2017-06-17,1729,20,Month 1,-76,-19,858,NaN,Sunny
1648,2017-06-16,1728,20,Month 1,-76,-16,855,NaN,Sunny
1647,2017-06-15,1727,19,Month 1,-75,-13,855,NaN,Sunny
1645,2017-06-14,1726,19,Month 1,-76,-17,855,NaN,Sunny
1644,2017-06-13,1725,18,Month 1,-79,-18,857,NaN,Sunny
1643,2017-06-12,1724,18,Month 1,-77,-21,856,NaN,Sunny
1642,2017-06-11,1723,17,Month 1,-76,-16,854,NaN,Sunny
1640,2017-06-10,1722,17,Month 1,-77,-13,854,NaN,Sunny
1641,2017-06-09,1721,16,Month 1,-76,-16,852,NaN,Sunny
1638,2017-06-08,1720,16,Month 1,-76,-17,853,NaN,Sunny
1639,2017-06-07,1719,15,Month 1,-77,-19,853,NaN,Sunny
1637,2017-06-06,1718,15,Month 1,-77,-16,852,NaN,Sunny
1636,2017-06-05,1717,14,Month 1,-76,-12,851,NaN,Sunny
1632,2017-06-04,1716,14,Month 1,-76,-10,850,NaN,Sunny
1634,2017-06-03,1715,13,Month 1,-77,-10,851,NaN,Sunny
1633,2017-06-02,1714,13,Month 1,-77,-13,849,NaN,Sunny
1635,2017-06-01,1713,12,Month 1,-75,-10,850,NaN,Sunny
1630,2017-05-31,1712,12,Month 1,-77,-11,849,NaN,Sunny
1631,2017-05-30,1711,11,Month 1,-75,-13,848,NaN,Sunny
1629,2017-05-29,1710,11,Month 1,-76,-12,848,NaN,Sunny
1628,2017-05-28,1709,10,Month 1,-76,-14,847,NaN,Sunny
1626,2017-05-27,1708,10,Month 1,-76,-13,846,NaN,Sunny
1627,2017-05-26,1707,9,Month 1,-77,-12,846,NaN,Sunny
1624,2017-05-24,1706,9,Month 1,-77,-17,845,NaN,Sunny
1623,2017-05-23,1705,8,Month 1,-76,-11,845,NaN,Sunny
1625,2017-05-22,1704,8,Month 1,-77,-14,844,NaN,Sunny
1622,2017-05-21,1703,7,Month 1,-76,-12,843,NaN,Sunny
1621,2017-05-20,1702,7,Month 1,-75,-12,842,NaN,Sunny
1620,2017-05-19,1701,6,Month 1,-76,-12,841,NaN,Sunny
1619,2017-05-18,1700,6,Month 1,-76,-14,842,NaN,Sunny
1617,2017-05-17,1699,5,Month 1,-76,-12,843,NaN,Sunny
1618,2017-05-16,1698,5,Month 1,-77,-12,842,NaN,Sunny
1616,2017-05-15,1697,4,Month 1,-77,-15,841,NaN,Sunny
1615,2017-05-14,1696,4,Month 1,-75,-17,841,NaN,Sunny
1611,2017-05-13,1695,3,Month 1,-77,-13,840,NaN,Sunny
1613,2017-05-12,1694,3,Month 1,-76,-12,840,NaN,Sunny
1612,2017-05-11,1693,2,Month 1,-76,-12,840,NaN,Sunny
1614,2017-05-10,1692,2,Month 1,-62,-11,820,NaN,Sunny
1609,2017-05-08,1690,1,Month 1,-76,-14,840,NaN,Sunny
1610,2017-05-07,1689,0,Month 1,-75,-10,840,NaN,Sunny
1606,2017-05-06,1688,0,Month 1,-76,-13,840,NaN,Sunny
1608,2017-05-05,1687,359,Month 12,-75,-11,838,NaN,Sunny
1607,2017-05-04,1686,359,Month 12,-75,-13,838,NaN,Sunny
1605,2017-05-03,1685,358,Month 12,-77,-14,838,NaN,Sunny
1604,2017-05-02,1684,358,Month 12,-75,-14,837,NaN,Sunny
1600,2017-05-01,1683,357,Month 12,-75,-15,837,NaN,Sunny
1603,2017-04-30,1682,357,Month 12,-76,-13,839,NaN,Sunny
1602,2017-04-29,1681,356,Month 12,-74,-12,837,NaN,Sunny
1601,2017-04-28,1680,356,Month 12,-74,-11,835,NaN,Sunny
1599,2017-04-27,1679,355,Month 12,-75,-12,836,NaN,Sunny
1598,2017-04-26,1678,355,Month 12,-74,-11,836,NaN,Sunny
1597,2017-04-25,1677,354,Month 12,-74,-8,835,NaN,Sunny
1596,2017-04-24,1676,354,Month 12,-76,-11,837,NaN,Sunny
1595,2017-04-23,1675,353,Month 12,-75,-6,835,NaN,Sunny
1593,2017-04-22,1674,352,Month 12,-75,-6,835,NaN,Sunny
1594,2017-04-21,1673,352,Month 12,-75,-6,836,NaN,Sunny
1592,2017-04-20,1672,351,Month 12,-74,-5,833,NaN,Sunny
1591,2017-04-19,1671,351,Month 12,-76,-7,832,NaN,Sunny
1590,2017-04-18,1670,350,Month 12,-76,-12,834,NaN,Sunny
1589,2017-04-16,1669,350,Month 12,-74,-12,833,NaN,Sunny
1587,2017-04-15,1668,349,Month 12,-77,-4,831,NaN,Sunny
1588,2017-04-14,1667,349,Month 12,-76,-9,833,NaN,Sunny
1582,2017-04-13,1666,348,Month 12,-76,-8,834,NaN,Sunny
1585,2017-04-12,1665,348,Month 12,-76,-7,833,NaN,Sunny
1586,2017-04-11,1664,347,Month 12,-74,-8,832,NaN,Sunny
1584,2017-04-10,1663,347,Month 12,-74,-6,832,NaN,Sunny
1583,2017-04-09,1662,346,Month 12,-75,-3,831,NaN,Sunny
1580,2017-04-08,1661,346,Month 12,-75,-5,831,NaN,Sunny
1581,2017-04-07,1660,345,Month 12,-74,-5,832,NaN,Sunny
1579,2017-04-06,1659,345,Month 12,-77,-7,832,NaN,Sunny
1577,2017-04-05,1658,344,Month 12,-77,-8,835,NaN,Sunny
1578,2017-04-04,1657,343,Month 12,-75,-9,836,NaN,Sunny
1576,2017-04-03,1656,343,Month 12,-75,-3,832,NaN,Sunny
1574,2017-04-02,1655,342,Month 12,-76,-14,831,NaN,Sunny
1575,2017-04-01,1654,342,Month 12,-75,-17,829,NaN,Sunny
1573,2017-03-31,1653,341,Month 12,-75,-15,833,NaN,Sunny
1572,2017-03-30,1652,341,Month 12,-76,-15,834,NaN,Sunny
1571,2017-03-29,1651,340,Month 12,-77,-8,833,NaN,Sunny
1570,2017-03-28,1650,340,Month 12,-75,-8,833,NaN,Sunny
1569,2017-03-27,1649,339,Month 12,-74,-8,830,NaN,Sunny
1568,2017-03-26,1648,339,Month 12,-73,-14,830,NaN,Sunny
1566,2017-03-25,1647,338,Month 12,-73,-3,831,NaN,Sunny
1565,2017-03-24,1646,337,Month 12,-74,-8,831,NaN,Sunny
1567,2017-03-23,1645,337,Month 12,-74,-3,832,NaN,Sunny
1562,2017-03-22,1644,336,Month 12,-74,-10,832,NaN,Sunny
1563,2017-03-21,1643,336,Month 12,-74,-11,832,NaN,Sunny
1564,2017-03-20,1642,335,Month 12,-72,-13,829,NaN,Sunny
1560,2017-03-19,1641,335,Month 12,-72,-6,831,NaN,Sunny
1561,2017-03-18,1640,334,Month 12,-72,-8,832,NaN,Sunny
1558,2017-03-17,1639,334,Month 12,-71,-6,832,NaN,Sunny
1559,2017-03-16,1638,333,Month 12,-73,-9,833,NaN,Sunny
1557,2017-03-15,1637,332,Month 12,-73,-10,833,NaN,Sunny
1556,2017-03-14,1636,332,Month 12,-72,-14,834,NaN,Sunny
1555,2017-03-13,1635,331,Month 12,-73,-7,833,NaN,Sunny
1553,2017-03-12,1634,331,Month 12,-72,-5,834,NaN,Sunny
1554,2017-03-10,1633,330,Month 12,-75,-4,834,NaN,Sunny
1552,2017-03-09,1632,330,Month 12,-72,-4,836,NaN,Sunny
1550,2017-03-08,1631,329,Month 11,-77,-6,837,NaN,Sunny
1551,2017-03-07,1630,328,Month 11,-77,-6,838,NaN,Sunny
1548,2017-03-06,1629,328,Month 11,-74,-8,837,NaN,Sunny
1549,2017-03-05,1628,327,Month 11,-71,-8,839,NaN,Sunny
1547,2017-03-04,1627,327,Month 11,-72,-9,838,NaN,Sunny
1545,2017-03-03,1626,326,Month 11,-71,-11,839,NaN,Sunny
1546,2017-03-02,1625,326,Month 11,-71,-8,839,NaN,Sunny
1543,2017-03-01,1624,325,Month 11,-72,-8,837,NaN,Sunny
1544,2017-02-28,1623,324,Month 11,-71,-10,840,NaN,Sunny
1542,2017-02-27,1622,324,Month 11,-71,-9,841,NaN,Sunny
1541,2017-02-26,1621,323,Month 11,-73,-13,842,NaN,Sunny
1539,2017-02-25,1620,323,Month 11,-70,-9,844,NaN,Sunny
1538,2017-02-24,1619,322,Month 11,-73,-8,841,NaN,Sunny
1540,2017-02-23,1618,322,Month 11,-71,-7,845,NaN,Sunny
1537,2017-02-22,1617,321,Month 11,-72,-8,840,NaN,Sunny
1535,2017-02-21,1616,320,Month 11,-73,-8,848,NaN,Sunny
1536,2017-02-20,1615,320,Month 11,-73,-5,842,NaN,Sunny
1533,2017-02-19,1614,319,Month 11,-73,-8,837,NaN,Sunny
1534,2017-02-18,1613,319,Month 11,-72,-2,846,NaN,Sunny
1532,2017-02-17,1612,318,Month 11,NaN,NaN,NaN,NaN,Sunny
1531,2017-02-16,1611,318,Month 11,NaN,NaN,NaN,NaN,Sunny
1530,2017-02-15,1610,317,Month 11,NaN,NaN,NaN,NaN,Sunny
1529,2017-02-14,1609,316,Month 11,-71,-7,847,NaN,Sunny
1527,2017-02-13,1608,316,Month 11,-72,-8,847,NaN,Sunny
1528,2017-02-12,1607,315,Month 11,-77,-12,846,NaN,Sunny
1525,2017-02-11,1606,315,Month 11,-75,-10,850,NaN,Sunny
1526,2017-02-10,1605,314,Month 11,-73,-13,846,NaN,Sunny
1524,2017-02-09,1604,313,Month 11,-77,-11,850,NaN,Sunny
1523,2017-02-08,1603,313,Month 11,-76,-5,847,NaN,Sunny
1521,2017-02-07,1602,312,Month 11,-77,-5,852,NaN,Sunny
1522,2017-02-06,1601,312,Month 11,-71,-2,853,NaN,Sunny
