,headline_no_site,site,time,country,bias
2447,R2m spent to make house fit for a woman   Gauteng,iol.co.za,2010-09-21 07:00:00+00:00,South Africa,0.16666666666666666
2377,'Beautiful women give birth to girls',iol.co.za,2010-11-29 08:00:00+00:00,South Africa,0.16666666666666666
2442,Killer of Bergvliet woman convicted,iol.co.za,2010-09-10 07:00:00+00:00,South Africa,0.16666666666666666
2379,Wealthy women sucked into 'sangoma' scams,iol.co.za,2010-12-06 08:00:00+00:00,South Africa,0.16666666666666666
1620,Plus size women want fashion that fits,iol.co.za,2011-08-02 07:00:00+00:00,South Africa,0.16666666666666666
1650,Kidnapped girl sold for R25 000   Western Cape,iol.co.za,2011-02-21 08:00:00+00:00,South Africa,0.16666666666666666
1737,Del Piero in Old Lady swansong: Agnelli,iol.co.za,2011-10-18 07:00:00+00:00,South Africa,0.16666666666666666
1727,A woman in love and afraid,iol.co.za,2011-09-18 07:00:00+00:00,South Africa,0.16666666666666666
1526,Pippie leaves her hospital bed at last,iol.co.za,2012-09-14 07:00:00+00:00,South Africa,0.16666666666666666
1645,Girl mutilated to boost church numbers,iol.co.za,2012-08-07 07:00:00+00:00,South Africa,0.16666666666666666
1831,Swami gets life for raping girl,iol.co.za,2012-11-30 08:00:00+00:00,South Africa,0.16666666666666666
1961,Mother seeking justice for son,iol.co.za,2012-05-17 07:00:00+00:00,South Africa,0.16666666666666666
1912,The mother of liberation battles,iol.co.za,2013-03-24 07:00:00+00:00,South Africa,0.16666666666666666
1917,Every mother has a secret,iol.co.za,2013-03-06 08:00:00+00:00,South Africa,0.16666666666666666
1801,Vavi 'headhunted' sex scandal woman   Cosatu,iol.co.za,2013-08-05 07:00:00+00:00,South Africa,0.16666666666666666
1667,'Kirsty used all her energy to save me',iol.co.za,2013-11-07 08:00:00+00:00,South Africa,0.16666666666666666
1505,Woman murdered on day crime statistics released,iol.co.za,2014-09-20 07:00:00+00:00,South Africa,0.16666666666666666
1823,SA hockey women thrash Belgium,iol.co.za,2014-01-26 08:00:00+00:00,South Africa,0.16666666666666666
1937,A first lady of dance,iol.co.za,2014-03-11 07:00:00+00:00,South Africa,0.16666666666666666
