,Unnamed: 0,year,country,word,frequency,count,freq_prop_headlines,word_len,freq_rank,hfreq_rank,theme
12,277,2010,India,cricketer,0,1584,0.0,9,20,20,empowerment
13,278,2011,India,cricketer,0,2438,0.0,9,20,20,empowerment
14,279,2012,India,cricketer,0,3634,0.0,9,20,20,empowerment
15,280,2013,India,cricketer,4,4910,0.000814664,9,20,20,empowerment
16,281,2014,India,cricketer,6,7502,0.0007997869999999999,9,20,20,empowerment
17,282,2015,India,cricketer,11,10532,0.001044436,9,20,20,empowerment
18,283,2016,India,cricketer,14,14012,0.000999144,9,20,20,empowerment
19,284,2017,India,cricketer,48,17097,0.00280751,9,20,20,empowerment
20,285,2018,India,cricketer,40,19170,0.002086594,9,20,20,empowerment
21,286,2019,India,cricketer,66,20849,0.003165619,9,20,20,empowerment
22,287,2020,India,cricketer,42,21942,0.001914137,9,20,20,empowerment
23,288,2021,India,cricketer,56,12622,0.004436698,9,20,20,empowerment
24,294,2010,India,dream,0,1584,0.0,5,21,21,empowerment
25,295,2011,India,dream,12,2438,0.0049220670000000005,5,21,21,empowerment
26,296,2012,India,dream,17,3634,0.004678041,5,21,21,empowerment
27,297,2013,India,dream,12,4910,0.0024439920000000003,5,21,21,empowerment
28,298,2014,India,dream,19,7502,0.002532658,5,21,21,empowerment
29,299,2015,India,dream,52,10532,0.004937334,5,21,21,empowerment
30,300,2016,India,dream,53,14012,0.003782472,5,21,21,empowerment
31,301,2017,India,dream,76,17097,0.004445224,5,21,21,empowerment
32,302,2018,India,dream,65,19170,0.003390715,5,21,21,empowerment
33,303,2019,India,dream,130,20849,0.006235311,5,21,21,empowerment
34,304,2020,India,dream,79,21942,0.003600401,5,21,21,empowerment
35,305,2021,India,dream,55,12622,0.004357471,5,21,21,empowerment
36,311,2010,India,ceo,0,1584,0.0,3,22,22,empowerment
37,312,2011,India,ceo,9,2438,0.00369155,3,22,22,empowerment
38,313,2012,India,ceo,15,3634,0.004127683,3,22,22,empowerment
39,314,2013,India,ceo,17,4910,0.0034623220000000003,3,22,22,empowerment
40,315,2014,India,ceo,37,7502,0.004932018,3,22,22,empowerment
41,316,2015,India,ceo,45,10532,0.004272693,3,22,22,empowerment
42,317,2016,India,ceo,48,14012,0.003425635,3,22,22,empowerment
43,318,2017,India,ceo,54,17097,0.003158449,3,22,22,empowerment
44,319,2018,India,ceo,58,19170,0.003025561,3,22,22,empowerment
45,320,2019,India,ceo,68,20849,0.003261547,3,22,22,empowerment
46,321,2020,India,ceo,100,21942,0.00455747,3,22,22,empowerment
47,322,2021,India,ceo,53,12622,0.004199018,3,22,22,empowerment
60,362,2010,India,girlfriend,0,1584,0.0,10,27,27,female stereotypes
61,363,2011,India,girlfriend,6,2438,0.002461034,10,27,27,female stereotypes
62,364,2012,India,girlfriend,6,3634,0.001651073,10,27,27,female stereotypes
63,365,2013,India,girlfriend,6,4910,0.001221996,10,27,27,female stereotypes
64,366,2014,India,girlfriend,14,7502,0.001866169,10,27,27,female stereotypes
65,367,2015,India,girlfriend,24,10532,0.002278769,10,27,27,female stereotypes
66,368,2016,India,girlfriend,40,14012,0.002854696,10,27,27,female stereotypes
67,369,2017,India,girlfriend,35,17097,0.002047143,10,27,27,female stereotypes
68,370,2018,India,girlfriend,35,19170,0.001825769,10,27,27,female stereotypes
69,371,2019,India,girlfriend,41,20849,0.001966521,10,27,27,female stereotypes
70,372,2020,India,girlfriend,49,21942,0.00223316,10,27,27,female stereotypes
71,373,2021,India,girlfriend,47,12622,0.003723657,10,27,27,female stereotypes
72,396,2010,India,founder,0,1584,0.0,7,30,30,empowerment
73,397,2011,India,founder,2,2438,0.000820345,7,30,30,empowerment
74,398,2012,India,founder,4,3634,0.001100715,7,30,30,empowerment
75,399,2013,India,founder,8,4910,0.001629328,7,30,30,empowerment
76,400,2014,India,founder,10,7502,0.001332978,7,30,30,empowerment
77,401,2015,India,founder,24,10532,0.002278769,7,30,30,empowerment
78,402,2016,India,founder,32,14012,0.002283757,7,30,30,empowerment
79,403,2017,India,founder,48,17097,0.00280751,7,30,30,empowerment
80,404,2018,India,founder,56,19170,0.002921231,7,30,30,empowerment
81,405,2019,India,founder,54,20849,0.002590052,7,30,30,empowerment
82,406,2020,India,founder,76,21942,0.003463677,7,30,30,empowerment
83,407,2021,India,founder,45,12622,0.003565204,7,30,30,empowerment
96,719,2010,India,strong,0,1584,0.0,6,59,59,empowerment
97,720,2011,India,strong,2,2438,0.000820345,6,59,59,empowerment
98,721,2012,India,strong,6,3634,0.001651073,6,59,59,empowerment
99,722,2013,India,strong,8,4910,0.001629328,6,59,59,empowerment
100,723,2014,India,strong,17,7502,0.002266062,6,59,59,empowerment
101,724,2015,India,strong,16,10532,0.00151918,6,59,59,empowerment
102,725,2016,India,strong,31,14012,0.002212389,6,59,59,empowerment
103,726,2017,India,strong,54,17097,0.003158449,6,59,59,empowerment
104,727,2018,India,strong,51,19170,0.002660407,6,59,59,empowerment
105,728,2019,India,strong,51,20849,0.00244616,6,59,59,empowerment
106,729,2020,India,strong,53,21942,0.002415459,6,59,59,empowerment
107,730,2021,India,strong,28,12622,0.002218349,6,59,59,empowerment
108,770,2010,India,abduct,0,1584,0.0,6,63,63,crime and violence
