,headline_no_site,site,time,country,bias,year
360901,Warriors physio Marelize Opperman urges women to follow their dreams,heraldlive.co.za,2020-07-31 07:00:00+00:00,South Africa,0.16666666666666666,2020
359679,Jill Biden tells ‘dreamers’ she feels inspired by them,breitbart.com,2021-05-20 07:00:00+00:00,UK,0.16666666666666666,2021
63419,"Sofia Carson Talks About Dream Collaborations, What She's Looking for in a Boyfriend & Much More",eonline.com,2018-10-11 07:00:00+00:00,USA,0.16666666666666666,2018
262252,"Janhvi Kapoor on her dream wedding: ""I’m going to wear a Kanjeevaram sari""",vogue.in,2019-09-10 07:00:00+00:00,India,0.16666666666666666,2019
297164,Female CEOs Get Blamed More than Male Counterparts,wsj.com,2016-11-01 07:00:00+00:00,USA,0.16666666666666666,2016
176135,"Why there are so many women managers, but so few women CEOs",scroll.in,2015-03-11 07:00:00+00:00,India,0.16666666666666666,2015
277459,The resignation of PepsiCo CEO Indra Nooyi adds to a growing list of female leaders leaving Fortune 500 companies,marketwatch.com,2018-08-06 07:00:00+00:00,USA,0.16666666666666666,2018
230887,Former CEO claims Dlamini ran Sassa 'like her own shop',Enca.com,2018-01-26 08:00:00+00:00,South Africa,0.16666666666666666,2018
74953,Hear Her Corner CEO's Advice To Help Women Entrepreneurs Thrive,forbes.com,2016-09-13 07:00:00+00:00,India,0.3333333333333333,2016
5781,Machaba becomes first female CEO to lead PwC,Sowetanlive.co.za,2019-05-23 07:00:00+00:00,South Africa,0.16666666666666666,2019
132524,Mother Is The Necessity Of Invention For An Entrepreneurial Young CEO,ndtv.com,2016-06-15 07:00:00+00:00,India,0.16666666666666666,2016
206762,Ex Time Warner CEO Says Women Should Replace All Men | Time,time.com,2017-12-15 08:00:00+00:00,USA,0.16666666666666666,2017
297156,How a Woman CEO Affects Sales and Salaries,wsj.com,2016-12-13 08:00:00+00:00,USA,0.16666666666666666,2016
214422,"Costco, Microsoft, Insight Global CEOs rank among best leaders for women, survey shows",usatoday.com,2018-06-06 07:00:00+00:00,USA,0.0,2018
145461,Stephen Colbert's Sister Will Run For Congress : The Two Way,npr.org,2013-01-18 08:00:00+00:00,USA,0.16666666666666666,2013
329309,Record Number Of Women To Serve In The Next US Congress,ndtv.com,2020-11-06 08:00:00+00:00,India,0.16666666666666666,2020
262793,Midterms 2018: why Republican women in Congress might become rarer,vox.com,2018-08-02 07:00:00+00:00,USA,0.16666666666666666,2018
111898,"More women are going to Congress in 2019 than ever before, and most are Democrats",latimes.com,2018-11-07 08:00:00+00:00,USA,0.16666666666666666,2018
357026,Incoming GOP congresswoman to take aim at AOC with conservative 'squad',politico.com,2020-11-29 08:00:00+00:00,USA,0.16666666666666666,2020
262635,There’s a record number of women vets in Congress. They just formed their own caucus.,vox.com,2019-05-16 07:00:00+00:00,USA,0.16666666666666666,2019
266807,Women In Congress Near Breakthrough Moment in Midterm Elections,bloomberg.com,2018-09-17 07:00:00+00:00,UK,0.16666666666666666,2018
262765,"New Congress will feature first Muslim women, more religious diversity",vox.com,2019-01-03 08:00:00+00:00,USA,0.0,2019
278626,Woman Congress Worker Kisses Rahul Gandhi On Stage In Gujarat,outlookindia.com,2019-02-14 08:00:00+00:00,India,0.16666666666666666,2019
54247,Rahul Gandhi's Gujarat gaffe: Congress Vice President accidentally enters women's toilet!,dnaindia.com,2017-10-12 07:00:00+00:00,India,0.16666666666666666,2017
296886,Man Kills Girlfriend and Stabs Her Granddaughter,wsj.com,2016-05-11 07:00:00+00:00,USA,0.5,2016
127335,Binge drinking woman had sex with her girlfriend in park as shocked parents looked on,mirror.co.uk,2016-12-05 08:00:00+00:00,UK,0.5,2016
183143,"Paul McCartney persuaded his girlfriend's mother to comb his leg hair after gigs, new biography reveals",telegraph.co.uk,2016-06-07 07:00:00+00:00,UK,0.16666666666666666,2016
61162,"Reese Witherspoon Talks Success, Girlfriends' Support and Baby Tennessee Stealing Her Brain in Red Magazine",eonline.com,2013-04-29 07:00:00+00:00,USA,0.16666666666666666,2013
216668,R. Kelly's lawyer responds to girlfriend Joycelyn Savage's posts distancing herself from singer,usatoday.com,2019-11-24 08:00:00+00:00,USA,0.3333333333333333,2019
220032,"Ashley Hamilton, Girlfriend Renee Karalian Welcome Their First Child",usmagazine.com,2016-11-15 08:00:00+00:00,USA,0.16666666666666666,2016
79584,Mayim Bialik reveals she spent Thanksgiving with her ex husband and his new girlfriend: 'I was nervous',foxnews.com,2018-11-29 08:00:00+00:00,UK,0.3333333333333333,2018
228109,'Psychopath wanted to slit girl's throat in first kill': Teen girl allegedly tried to kill brother's girlfriend,yahoo.com,2016-07-30 07:00:00+00:00,India,0.3333333333333333,2016
97338,"Maharashtra: Man Allegedly Holds Ex Girlfriend Captive in Hotel, Rapes Her Repeatedly",india.com,2019-02-12 08:00:00+00:00,India,0.3333333333333333,2019
5424,"Kempton Park man beheads girlfriend, stuffs her body in a fridge",News24.com,2019-04-26 07:00:00+00:00,South Africa,0.16666666666666666,2019
74821,"The What Founders On Cofounding Relationships, Building Community And Radical Authenticity",forbes.com,2019-07-26 07:00:00+00:00,India,0.0,2019
54003,"One out of every 10 Indian women have polycystic ovary syndrome: Dr Duru Shah, Founder President, PCOS Society",dnaindia.com,2015-09-22 07:00:00+00:00,India,0.16666666666666666,2015
18743,A startup founder shares her 4 best tricks for saving time,businessinsider.com,2015-12-01 08:00:00+00:00,India,0.16666666666666666,2015
75019,"Founders Of Mented Cosmetics Become 15th, 16th Black Women Ever To Raise $1M Capital",forbes.com,2017-10-16 07:00:00+00:00,India,0.16666666666666666,2017
235485,Huawei founder says his daughter hasn't faced hardship and her arrest will 'make her stronger',cnbc.com,2019-04-14 07:00:00+00:00,USA,0.3333333333333333,2019
378774,Wikileaks Founder Julian Assange Reportedly Fathered Two Kids While Holed Up in Embassy Fighting Extradition,thedailybeast.com,2020-04-11 07:00:00+00:00,USA,0.0,2020
342647,Founder of STEM focused Wildtype Media on working in male dominated fields: “Women have to support women”,style.yahoo.com,2021-02-22 08:00:00+00:00,UK,0.0,2021
148245,"Janet Wolfe, founder of NYCHA Symphony, celebrates 100th birthday with classical music at Carnegie Hall",nydailynews.com,2014-04-03 07:00:00+00:00,USA,0.0,2014
15992,Skinnygirl founder Bethenny Frankel shares what she'd like to tell her 20 year old self,businessinsider.com,2016-10-12 07:00:00+00:00,India,0.16666666666666666,2016
316395,Latina E Commerce Founder Inspires Women To Take The Entrepreneurial Leap,forbes.com,2021-01-27 08:00:00+00:00,India,0.16666666666666666,2021
34930,Sister of deputy killed by escaped prisoner speaks,cnn.com,2015-06-08 07:00:00+00:00,India,0.16666666666666666,2015
179145,Are you a deputy parent? Why successful career women need a partner who's the boss at home,standard.co.uk,2015-10-12 07:00:00+00:00,UK,0.16666666666666666,2015
139978,Deputy principal allegedly choked out girl while stopping fight,news.yahoo.com,2016-05-08 07:00:00+00:00,India,0.16666666666666666,2016
110917,Wife of slain deputy pleads for the public's help,latimes.com,2008-11-26 08:00:00+00:00,USA,0.16666666666666666,2008
111946,Former sheriff's deputy convicted of sexual assault | LA NOW | Los Angeles Times,latimes.com,2011-10-07 07:00:00+00:00,USA,0.0,2011
80200,"Former deputy charged with killing wife, sister in law in Wisconsin",foxnews.com,2014-08-29 07:00:00+00:00,UK,0.16666666666666666,2014
180593,Tory MP Eleanor Laing denies No 10 is backing her to be new Deputy Speaker,standard.co.uk,2013-10-04 07:00:00+00:00,UK,0.16666666666666666,2013
324658,"L.A. County sheriff's deputy shot accidentally, officials say",latimes.com,2020-10-02 07:00:00+00:00,USA,0.0,2020
4304,'We raise angry boys'   deputy minister says women also to blame for gender based violence,News24.com,2019-12-04 08:00:00+00:00,South Africa,0.16666666666666666,2019
29167,"Woman shot by off duty Bexar County deputy was unarmed, officials say",chron.com,2018-06-29 07:00:00+00:00,USA,0.16666666666666666,2018
111834,"Warrior, scientist, superspy, queen: How 'Black Panther' brings strong, complex women to Marvel",latimes.com,2018-01-30 08:00:00+00:00,USA,0.16666666666666666,2018
246716,Strong winds blow away 4 year old girl opening a door,mashable.com,2017-03-10 08:00:00+00:00,UK,0.16666666666666666,2017
138572,Idris Elba hails 'strong' Meghan Markle as 'beacon' and 'role model' for all women,news.sky.com,2017-12-15 08:00:00+00:00,UK,0.16666666666666666,2017
238589,Women engineers at nuke plant strongrooms break another barrier,deccanherald.com,2014-09-15 07:00:00+00:00,India,0.16666666666666666,2014
228766,Jessie James Decker praised for showing 'mom skin' in bikini pic: 'It takes a strong woman to do that',yahoo.com,2018-10-23 07:00:00+00:00,India,0.16666666666666666,2018
227931,Cecily Strong of 'SNL' sends up white women calling the police in Instagram video,yahoo.com,2018-06-24 07:00:00+00:00,India,0.16666666666666666,2018
88713,Lorde’s Ideal Style: ‘Powerful and Strong’,hollywoodreporter.com,2014-02-20 08:00:00+00:00,USA,0.0,2014
162365,"Kansas Mother of Five Dies a Week After Giving Birth to Triplets: 'I Have to Be Strong,' Says Dad",people.com,2016-03-14 07:00:00+00:00,USA,0.16666666666666666,2016
376568,Emma Hayes: Chelsea Women boss calls for 'strong' officials in Champions League last 16 tie against Atletico Madrid,skysports.com,2021-03-03 08:00:00+00:00,UK,0.16666666666666666,2021
213821,"Dwayne 'The Rock' Johnson, girlfriend Lauren Hashian welcome 'strong' baby girl Tiana",usatoday.com,2018-04-23 07:00:00+00:00,USA,0.3333333333333333,2018
274799,"23 year old woman abducted in Sonipat, gang raped and murdered in Rohtak",livemint.com,2017-05-13 07:00:00+00:00,India,0.16666666666666666,2017
344509,Minor girl rescued within four days of abduction by Facebook friend,telegraphindia.com,2021-01-07 08:00:00+00:00,India,0.16666666666666666,2021
717,12 year old Chinese girl abducted from US airport,iol.co.za,2018-08-03 07:00:00+00:00,South Africa,0.16666666666666666,2018
322681,"Most marriages between Hindu women and Muslim men result of love affairs, not abduction, says All Pakista",indiatimes.com,2020-01-30 08:00:00+00:00,India,0.16666666666666666,2020
31552,"Man accused of abducting girlfriend, telling her “I’ll kill you if you leave”",chron.com,2019-07-12 07:00:00+00:00,USA,0.16666666666666666,2019
154478,Abducted girl believed to be heading to NYC,nypost.com,2018-09-27 07:00:00+00:00,USA,0.16666666666666666,2018
352002,Mother Reunited With Son Who Was Abducted As Toddler Thanks To Facial Recognition Technology,unilad.co.uk,2020-05-20 07:00:00+00:00,UK,0.16666666666666666,2020
148358,"Suburban St. Louis teen abducts friend’s sister, 10, in murder and rape plot: cops",nydailynews.com,2015-03-13 07:00:00+00:00,USA,0.0,2015
219491,Sherri Papini Abduction Case: New Details Emerge in Mysterious Disappearance,usmagazine.com,2017-10-26 07:00:00+00:00,USA,0.0,2017
104359,Delhi woman abducted and gang raped in moving car,indiatimes.com,2016-02-24 08:00:00+00:00,India,0.16666666666666666,2016
167967,"Gwyneth Paltrow's Son, Moses, Writes Her an Adorable Mother's Day Note",popsugar.com,2015-05-11 07:00:00+00:00,USA,0.16666666666666666,2015
210210,Khloe Kardashian dresses baby girl True Thompson as an adorable ballerina,timesofindia.com,2018-06-07 07:00:00+00:00,India,0.16666666666666666,2018
218048,Dwayne ‘The Rock’ Johnson Shares Adorable Photo With Daughter Tiana on Her 1st Birthday: I’ll ‘Always Have Your Back’,usmagazine.com,2019-04-18 07:00:00+00:00,USA,0.3333333333333333,2019
311513,"'Taarak Mehta Ka Ooltah Chashmah' actor Disha Vakani's daughter is adorable, check out VIRAL photos",dnaindia.com,2021-06-05 03:27:00+00:00,India,0.16666666666666666,2021
67862,Dog News: Adorable dumped puppy comforted by teddy after being parted from mother,express.co.uk,2018-08-28 07:00:00+00:00,UK,0.16666666666666666,2018
3701,Prince Harry Has an Adorable 'Cinderella' Moment With Little Girl,msn.com,2015-05-15 07:00:00+00:00,India,0.16666666666666666,2015
50011,Gal Gadot and Vin Diesel's family pic is adorable,digitalspy.com,2017-06-27 07:00:00+00:00,UK,0.16666666666666666,2017
67464,Girl writes adorable apology after being caught throwing stones at a house,express.co.uk,2014-07-02 07:00:00+00:00,UK,0.16666666666666666,2014
99236,"Sushma Swaraj Tweets Picture With Her Adorable Little Friend Medina Sami Khan, Adnan Sami Thanks Her For The",india.com,2017-10-11 07:00:00+00:00,India,0.16666666666666666,2017
351735,Guy Shares Adorable Trick To Wake Up His Deaf And Blind Dog Without Scaring Her,unilad.co.uk,2020-04-23 07:00:00+00:00,UK,0.16666666666666666,2020
26356,"Michelle Obama talks hope, gender equality and running for president at United State of Women Summit",chicagotribune.com,2018-05-07 07:00:00+00:00,USA,0.16666666666666666,2018
336212,Group Seeking Equality for Women in Tech Raises $11 Million,nytimes.com,2020-12-04 08:00:00+00:00,India,0.16666666666666666,2020
71452,"Dalai Lama apologises for comment on women, says he .. supported gender equality and opposed objectification",firstpost.com,2019-07-03 07:00:00+00:00,India,0.0,2019
323852,"Women's Equality Day 2020: History, significance, quotes, wishes for WhatsApp and Facebook status",indiatoday.in,2020-08-25 07:00:00+00:00,India,0.16666666666666666,2020
278287,"Domestic workers, Gender Equality, and Women Empowerment",outlookindia.com,2018-04-26 07:00:00+00:00,India,0.16666666666666666,2018
203729,Aviva pushes out new mother who led equality drive,thetimes.co.uk,2019-06-08 07:00:00+00:00,UK,0.16666666666666666,2019
179830,Gabby Logan: 'There will only be equality on TV when a woman in her 70s hosts Strictly Come Dancing',standard.co.uk,2014-11-06 08:00:00+00:00,UK,0.3333333333333333,2014
306261,The women who fought against ISIS — an unusual experiment in women's equality,cbsnews.com,2021-02-18 08:00:00+00:00,USA,0.3333333333333333,2021
75178,"This Saint Lucian Woman Is Combining Agriculture, Technology & Gender Equality",forbes.com,2018-09-13 07:00:00+00:00,India,0.16666666666666666,2018
17884,Income Inequality Is Making Women More Depressed,businessinsider.com,2013-11-06 08:00:00+00:00,India,0.16666666666666666,2013
219800,"Zosia Mamet Explains Why She Wanted to Try “Antique Gray” Hair Color, Reveals Surprising Inspiration for New Look",usmagazine.com,2014-12-08 08:00:00+00:00,USA,0.16666666666666666,2014
128942,Colorado Man Arrested After Botching Unlicensed Surgery on Transgender Woman,nbcnews.com,2017-05-21 07:00:00+00:00,USA,0.16666666666666666,2017
241269,'New Girl' sneak peek: Schmidt and Jess feud over … names of colors?!,ew.com,2018-04-24 07:00:00+00:00,USA,0.0,2018
145822,"The Tragedy of Jessica Ghawi: Spared In Toronto, She Died In Colorado Shooting",npr.org,2012-07-20 07:00:00+00:00,USA,0.16666666666666666,2012
303307,"Colorado woman killed in suspected bear attack, wildlife officials say",abcnews.go.com,2021-05-01 07:00:00+00:00,USA,0.16666666666666666,2021
249586,'Racism and sexism': Women of color slam white male tilt of Dem primary,politico.com,2019-04-24 07:00:00+00:00,USA,0.16666666666666666,2019
162142,"Colorado Woman, 27, Writes a Break Up Note on Her Foot Before Getting Part of Her Leg Amputated",people.com,2019-02-15 08:00:00+00:00,USA,0.16666666666666666,2019
354249,A 9 year old girl got people to finally stop thinking of the peach colored crayon as the ‘skin color’ crayon,washingtonpost.com,2020-02-22 08:00:00+00:00,UK,0.16666666666666666,2020
315234,"Obesity related risks for colorectal cancer not the same for men and women, says new study",firstpost.com,2020-12-17 08:00:00+00:00,India,0.0,2020
320269,Colorado store receives threats after video of woman refusing to wear mask goes viral,independent.co.uk,2020-07-17 07:00:00+00:00,UK,0.16666666666666666,2020
354185,"Inside Lauren Burnham and Arie Luyendyk Jr.’s Renovation Plans for Nursery, Hawaii Home",usmagazine.com,2021-05-05 07:00:00+00:00,USA,0.0,2021
254820,Baby rhino tries to nurse from its slain mother in tragic video,sfgate.com,2018-02-21 08:00:00+00:00,USA,0.16666666666666666,2018
125033,"Woman dressed as 'sexy nurse' gives testicular exams IN PUBLIC...but don't worry, it's for charity",mirror.co.uk,2014-11-19 08:00:00+00:00,UK,0.16666666666666666,2014
163793,Woman Burned as Infant Reunites with Mystery Nurse Who Cared for Her: 'It Has Been a Lifelong Friendship',people.com,2015-09-30 07:00:00+00:00,USA,0.16666666666666666,2015
24605,Hacienda HealthCare investigation arrest: Nurse Nathan Sutherland arrested in case of incapacitated woman who gave birth,cbsnews.com,2019-01-23 08:00:00+00:00,USA,0.16666666666666666,2019
43694,Nurse allegedly stabbed herself in grounds of Ailsa Hospital in Ayr,dailyrecord.co.uk,2018-12-18 08:00:00+00:00,UK,0.16666666666666666,2018
1181,Tygerberg hospital nurse in dog poo case to hear if she can return to work,iol.co.za,2019-09-25 07:00:00+00:00,South Africa,0.16666666666666666,2019
284848,'Nurses were asleep when my sister fell',Iol.co.za,2016-07-15 07:00:00+00:00,South Africa,0.16666666666666666,2016
358346,"Utah mom who gave birth on flight with help from doctor, nurses didn't know she was pregnant",ksl.com,2021-05-03 07:00:00+00:00,USA,0.3333333333333333,2021
4549,"'Whenever she feels she is ready, I am here for her' – Celeste Nurse",News24.com,2016-03-15 07:00:00+00:00,South Africa,0.16666666666666666,2016
365307,PETA Starts Targeted Campaign Against Shefali Vaidya After She Asks It To Stop Selective Outrage On Hindu Festivals,swarajyamag.com,2020-07-19 07:00:00+00:00,India,0.16666666666666666,2020
98022,Indian American Sikh woman from Chandigarh Harmeet Kaur Dhillon elected to key Republican position in US,india.com,2016-05-03 07:00:00+00:00,India,0.16666666666666666,2016
262773,The midterm elections are shaping up to have a giant gender gap,vox.com,2018-07-02 07:00:00+00:00,USA,0.0,2018
345530,Voters elected a record number of Black women to Congress this year — none were Republican | TheHill,thehill.com,2020-11-29 08:00:00+00:00,USA,0.16666666666666666,2020
281393,From Suicide Girl to 'Hunger Games' Composer to Electro pop Artist: Meet Tying Tiffany,vice.com,2014-03-10 07:00:00+00:00,UK,0.16666666666666666,2014
291285,Priyanka Gandhi part of selection process of Congress CM in the state where her husband faces probe,opindia.com,2018-12-13 08:00:00+00:00,India,0.16666666666666666,2018
250532,China's feminists hail expected election of Taiwan's Tsai,reuters.com,2016-01-13 08:00:00+00:00,USA,0.0,2016
226136,Hillary Clinton didn’t give her concession speech on election night. Now we see one reason why.,washingtonpost.com,2016-11-09 08:00:00+00:00,UK,0.16666666666666666,2016
352611,"'It's just our time': Ferguson elects first black, female mayor 6 years after Michael Brown's death",usatoday.com,2020-06-03 07:00:00+00:00,USA,0.16666666666666666,2020
234682,"Poll: On Eve of Election Day, Clinton Maintains Her Edge Over Trump",cnbc.com,2016-11-07 08:00:00+00:00,USA,0.16666666666666666,2016
18399,Here's How The Kurdish Peshmerga's Female Fighters Prepare For Battle Against ISIS,businessinsider.com,2014-09-19 07:00:00+00:00,India,0.16666666666666666,2014
32088,A picture of a firefighter carrying an elderly woman up some stairs is capturing hearts,cnn.com,2019-03-18 07:00:00+00:00,India,0.16666666666666666,2019
73059,Landmark event in IAF history: Meet Indias first 3 women fighter pilots,firstpost.com,2016-06-18 07:00:00+00:00,India,0.16666666666666666,2016
265863,Birmingham firefighter rescues woman after she falls 120ft into active Bali volcano,birminghammail.co.uk,2018-02-19 08:00:00+00:00,UK,0.3333333333333333,2018
17739,This Woman Is A Photographer By Day And A Fighter By Night,businessinsider.com,2012-06-26 07:00:00+00:00,India,0.16666666666666666,2012
348920,The female firefighters bidding to conquer Antarctica,thetimes.co.uk,2020-02-26 08:00:00+00:00,UK,0.16666666666666666,2020
60118,Big boost: Ministry of Defence approves induction of women fighter pilots into IAF,economictimes.indiatimes.com,2015-10-24 07:00:00+00:00,India,0.16666666666666666,2015
235685,Southwest Airlines pilot who saved 149 people with emergency landing was one of the first women to fly fighter jets,cnbc.com,2018-04-18 07:00:00+00:00,USA,0.16666666666666666,2018
92053,South Korean woman freed by firefighters after robot vacuum cleaner 'eats' her hair as she sleeps,independent.co.uk,2015-02-09 08:00:00+00:00,UK,0.5,2015
82373,Shweta Tiwari Birthday Special: 5 facts about Bigg Boss winner that prove she is fighter to the core,freepressjournal.in,2017-10-04 07:00:00+00:00,India,0.16666666666666666,2017
222175,"Recy Taylor, Oprah Winfrey and the long history of black women saying #MeToo",washingtonpost.com,2018-01-09 08:00:00+00:00,UK,0.16666666666666666,2018
35497,Looking at children's programming through a #MeToo lens,cnn.com,2018-03-02 08:00:00+00:00,India,0.0,2018
16214,Rose McGowan denies calling the #MeToo movement 'bulls   ' and 'a lie' in a recent interview,businessinsider.com,2018-10-08 07:00:00+00:00,India,0.0,2018
204481,Time magazine picks the women behind #MeToo as Person of the Year,thetimes.co.uk,2017-12-07 08:00:00+00:00,UK,0.16666666666666666,2017
336589,Iran May Pass #MeToo Law Outlawing Sexual Violence Against Women,nytimes.com,2021-01-07 08:00:00+00:00,India,0.16666666666666666,2021
209013,Saloni Chopra talks about when SHE MET with Sajid Khan | #MeToo India | Exclusive,timesnownews.com,2018-10-21 07:00:00+00:00,India,0.16666666666666666,2018
211059,Indian Idol 11: Sona Mohapatra shares #MeToo accused Anu Malik has tried to reach out to her,timesofindia.com,2019-11-26 08:00:00+00:00,India,0.16666666666666666,2019
78011,"Historic number of women aim for Madam President; experts credit #MeToo, recruitment efforts",foxnews.com,2019-01-24 08:00:00+00:00,UK,0.3333333333333333,2019
178855,Lindsay Lohan apologises for calling women ‘weak’ over #MeToo,standard.co.uk,2018-08-13 07:00:00+00:00,UK,0.16666666666666666,2018
330309,"In conservative Kuwait, women launch their own #MeToo movement",newindianexpress.com,2021-02-09 08:00:00+00:00,India,0.16666666666666666,2021
65426,Child star Shirley Temple and her Hollywood rival,express.co.uk,2014-02-16 08:00:00+00:00,UK,0.16666666666666666,2014
212272,Woman Born With No Legs And Left At Temple As Baby Is Now A Hollywood Actor,unilad.co.uk,2019-03-10 08:00:00+00:00,UK,0.16666666666666666,2019
274825,Petition filed in SC for safe passage to women to Sabarimala temple,livemint.com,2019-12-02 08:00:00+00:00,India,0.16666666666666666,2019
346620,"Pazhoor Bindu, the woman in an all male temple art form",thehindu.com,2020-08-20 07:00:00+00:00,India,0.16666666666666666,2020
351054,When Kamala Harris asked aunt in India to break coconuts for her good luck at Hindu temple,timesofindia.com,2020-08-17 07:00:00+00:00,India,0.3333333333333333,2020
55108,Now churidar clad women can enter Guruvayoor temple,dnaindia.com,2007-07-26 07:00:00+00:00,India,0.16666666666666666,2007
48211,SC allows women to enter Sabarimala; these 4 temples still do not,deccanchronicle.com,2018-09-28 07:00:00+00:00,India,0.16666666666666666,2018
290556,"Women Were Not Allowed to Enter the Temple in This Village Once. Today, They Are Welcomed.",thebetterindia.com,2016-04-15 07:00:00+00:00,India,0.16666666666666666,2016
59318,Watch: Two woman devotees below 50 claim they entered Kerala's Sabarimala temple,economictimes.indiatimes.com,2019-01-02 08:00:00+00:00,India,0.16666666666666666,2019
104351,"Why menstruating women are not permitted to enter temples in TN, asks PIL in Madras HC | India News",indiatimes.com,2016-01-21 08:00:00+00:00,India,0.16666666666666666,2016
53668,This Manipuri girl's encounter with a racist immigration officer will make you feel ashamed,dnaindia.com,2016-07-11 07:00:00+00:00,India,0.0,2016
295764,Ousted Racist Newspaper Editor Goodloe Sutton Celebrates Freedom: 'I Can Drink Beer And Chase Women Now',thedailybeast.com,2019-02-23 08:00:00+00:00,USA,0.16666666666666666,2019
270867,Woman wearing MAGA hat is harassed at post office: 'Your president is racist',finance.yahoo.com,2019-04-11 07:00:00+00:00,India,0.16666666666666666,2019
237198,"Dylan Roof’s Sister Morgan Arrested on Weapons Charges, Posts Racist Rant to Snapchat",complex.com,2018-03-15 07:00:00+00:00,USA,0.16666666666666666,2018
325278,"Woman goes on racist rant during L.A. County traffic stop, tells deputy 'you'll never be white'",latimes.com,2021-05-06 07:00:00+00:00,USA,0.16666666666666666,2021
328222,"Nikki Haley claims 'America is not racist,' later says she 'faced discrimination'",nbcnews.com,2020-08-25 07:00:00+00:00,USA,0.16666666666666666,2020
179146,Woman admits racist rant on bus which saw her brand Muslim women 'ISIS b******' in north west London,standard.co.uk,2015-10-19 07:00:00+00:00,UK,0.5,2015
93292,Australia: Indigenous weekend blighted by racist slur after,independent.co.uk,2013-05-27 07:00:00+00:00,UK,0.0,2013
