"year","alcohol","sexual","profanity","identity","other","violence"
2001,0,2.5,0,2.5,0,0
2002,0,11.4285714285714,5.71428571428571,2.85714285714286,2.85714285714286,0
2003,0,0,3.44827586206897,3.44827586206897,1.72413793103448,0
2004,1.58730158730159,0,0,1.58730158730159,0,1.58730158730159
2005,0,0,12.5,0,0,3.125
2006,2.4390243902439,2.4390243902439,24.390243902439,4.8780487804878,0,4.8780487804878
2007,6.02409638554217,7.2289156626506,12.0481927710843,8.43373493975904,4.81927710843373,4.81927710843373
2008,3.57142857142857,7.14285714285714,10.7142857142857,0,5.35714285714286,8.92857142857143
2009,5.81395348837209,12.7906976744186,13.953488372093,1.16279069767442,10.4651162790698,6.97674418604651
2010,14.4578313253012,15.6626506024096,10.8433734939759,2.40963855421687,6.02409638554217,4.81927710843374
2011,2.5,7.5,10,7.5,5,2.5
2012,8.25688073394496,20.1834862385321,4.58715596330275,3.6697247706422,5.5045871559633,3.6697247706422
2013,8.21917808219178,9.58904109589041,17.8082191780822,0,5.47945205479452,6.84931506849315
2014,21.25,18.75,7.5,1.25,6.25,8.75
2015,7.93650793650794,15.0793650793651,10.3174603174603,2.38095238095238,3.17460317460317,8.73015873015873
2016,15.625,15.625,15.625,5.20833333333333,7.29166666666667,4.16666666666667
2017,28.6764705882353,18.3823529411765,13.2352941176471,0.735294117647059,5.14705882352941,8.08823529411765
2018,19.327731092437,10.9243697478992,17.6470588235294,3.36134453781513,5.04201680672269,10.0840336134454
2019,16.6666666666667,15.9722222222222,15.2777777777778,2.77777777777778,13.1944444444444,4.86111111111111
