"artist","song","sentence","highestRank","year","nonPerson","name"
"Meek Mill","1942 Flows","I look like tellin' my business on Wendy","83","2017",NA,"Wendy"
"G-Eazy Featuring Yo Gotti & YBN Nahmir","1942","Baby hit my line because she see them stars in the roof","70","2018",NA,"Baby"
"G-Eazy Featuring Yo Gotti & YBN Nahmir","1942","Red Christian Loubs, I rock designer shoes","70","2018","brand","Christian"
"Gunna Featuring Young Thug","3 Headed Snake","I fucked her at Ross place","74","2019",NA,"Ross"
"Gunna Featuring Young Thug","3 Headed Snake","I was in a Royce, I was seeing space","74","2019","car","Royce"
"Future","31 Days","Took a few Pakistanians into London","65","2018","city","London"
"Zedd & Katy Perry","365","Baby, you got me changing","86","2019",NA,"Baby"
"2 Chainz Featuring Travis Scott","03:59:59.99999999999920125","Reminiscin' 'bout the trap, playin' the first Carter","NA","NA",NA,"Carter"
"Future","4 Da Gang","You see my plain Patek, cost Jerry Rice, nigga","92","2017",NA,"Jerry"
"Future","4 Da Gang","I was kicking it in overdrive, for Seth Firkins","92","2017",NA,"Seth"
"Logic","44 More","Levitated like I'm David Blaine","65","2018",NA,"David"
"Logic","44 More","Livin' a dream like I'm David Aames","65","2018",NA,"David"
"Logic","44 More","Yeah, I'm supplyin' the wood like Elijah","65","2018",NA,"Elijah"
"Logic","44 More","Sold more albums my first week than Harry Styles and Katy Perry","65","2018",NA,"Harry"
"Logic","44 More","Sold more albums my first week than Harry Styles and Katy Perry","65","2018",NA,"Katy"
"Logic","44 More","That Kevin Durant, I'm a champion","65","2018",NA,"Kevin"
"Logic","44 More","Sold more albums my first week than Harry Styles and Katy Perry","65","2018",NA,"Perry"
"JAY-Z","04:43:59.99999999999941650","I harassed you out in Paris","NA","NA","city","Paris"
"Lil Uzi Vert","444+222","Million, on me, Jay Z","100","2017",NA,"Jay"
"Lil Uzi Vert","444+222","Million, on me, Jay Z","100","2017",NA,"Jay"
"Lil Uzi Vert","444+222","Million, on me, Jay Z","100","2017",NA,"Jay"
"Lil Uzi Vert","444+222","Million, on me, Jay Z","100","2017",NA,"Jay"
"Lil Uzi Vert","444+222","Million, on me, Jay Z","100","2017",NA,"Jay"
"Lil Uzi Vert","444+222","Million, on me, Jay Z","100","2017",NA,"Jay"
"Travis Scott","5% Tint","All that fall in love shit she got it Kevin Hart","36","2018",NA,"Kevin"
"Lil Yachty Featuring Trippie Redd","66","Racks up, racks up, pullin' out a Bentley truck","73","2018","car","Bentley"
"Lil Yachty Featuring Trippie Redd","66","I just pulled up in a Bentley","73","2018","car","Bentley"
"Lil Yachty Featuring Trippie Redd","66","Racks up, racks up, pullin' out a Bentley truck","73","2018","car","Bentley"
"Lil Yachty Featuring Trippie Redd","66","Racks up, racks up, pullin' out a Bentley truck","73","2018","car","Bentley"
"Lil Yachty Featuring Trippie Redd","66","Side by side, me and Trippie in the Bentley","73","2018","car","Bentley"
"Lil Yachty Featuring Trippie Redd","66","Racks up, racks up , pullin' out a Bentley truck","73","2018","car","Bentley"
"Ariana Grande","7 Rings","Yeah, breakfast at Tiffany's and bottles of bubbles","1","2019",NA,"Tiffany"
"Drake","8 Out Of 10","Max said they only bless when they attached to you","21","2018",NA,"Max"
"Drake","8 Out Of 10","Helipad from Will Smith crib straight to the stage","21","2018",NA,"Will"
"Post Malone","92 Explorer","Used to mock him, now his cars some Bentley mock-ups","40","2018","car","Bentley"
"Post Malone","92 Explorer","We got London On Da Track","40","2018",NA,"London"
"Post Malone","92 Explorer","We got London On Da Track","40","2018",NA,"London"
"Post Malone","92 Explorer","Bought the bar, Roseanne","40","2018",NA,"Roseanne"
"French Montana Featuring The Weeknd & Max B","A Lie","Me and Max hit the block like Karl Malone, Stockton","75","2017",NA,"Karl"
"French Montana Featuring The Weeknd & Max B","A Lie","Me and Max hit the block like Karl Malone, Stockton","75","2017",NA,"Max"
"French Montana Featuring The Weeknd & Max B","A Lie","Montana, Montana, ow","75","2017",NA,"Montana"
"French Montana Featuring The Weeknd & Max B","A Lie","Montana, Montana, ow","75","2017",NA,"Montana"
"21 Savage","A Lot","Cole on a mission","12","2019",NA,"Cole"
"21 Savage","A Lot","Dennis Smith Jr., stay solid, my nigga","12","2019",NA,"Dennis"
"City Girls","Act Up","Ford","43","2019",NA,"Ford"
"City Girls","Act Up","He'll curse a nigga rockin' Tom","43","2019",NA,"Tom"
"Drake Featuring Static Major & Ty Dolla $ign","After Dark","It's Al Wood and you are safe, soft, and warm","41","2018",NA,"Al"
"Drake Featuring Static Major & Ty Dolla $ign","After Dark","My Funny Valentine, Jill Scott","41","2018",NA,"Jill"
"Drake Featuring Static Major & Ty Dolla $ign","After Dark","the selected music of Mr Luther Van Dross","41","2018",NA,"Luther"
"Drake Featuring Static Major & Ty Dolla $ign","After Dark","My Funny Valentine, Jill Scott","41","2018",NA,"Scott"
"J. Cole","Album Of The Year (Freestyle)","Now we push pills and sell heroin to Billy","87","2018",NA,"Billy"
"J. Cole","Album Of The Year (Freestyle)","Now Billy momma want the judge to pardon his addiction","87","2018",NA,"Billy"
"J. Cole","Album Of The Year (Freestyle)","Shout out Oak Cliff, I'm 'bout to fly to Dallas","87","2018","city","Dallas"
"J. Cole","Album Of The Year (Freestyle)","What up, Mark Cuban?","87","2018",NA,"Mark"
"Future & Young Thug","All Da Smoke","I got Barry Bonds on my wrist","77","2017",NA,"Barry"
"Future & Young Thug","All Da Smoke","300 racks on a Bentley truck, yeah yeah","77","2017","car","Bentley"
"Future & Young Thug","All Da Smoke","I got pom-poms in my rear, Chanel CoCo in my kill","77","2017","brand","Chanel"
"Juice WRLD","All Girls Are The Same","Wake up the next day in the Monte Carlo","41","2018","city","Carlo"
"Juice WRLD","All Girls Are The Same","I'm a jealous boy, really feel like John Lennon","41","2018",NA,"John"
"Juice WRLD","All Girls Are The Same","Wake up the next day in the Monte Carlo","41","2018","city","Monte"
"Kanye West","All Mine","All these thots on Christian Mingle","11","2018","religion","Christian"
"Kanye West","All Mine","I call that taking Corey Gambles","11","2018",NA,"Corey"
"Kanye West","All Mine","If I pull up with a Kerry Washington","11","2018",NA,"Kerry"
"Kanye West","All Mine","If you don't ball like him or Kobe","11","2018",NA,"Kobe"
"Kanye West","All Mine","I could have Naomi Campbell","11","2018",NA,"Naomi"
"Kanye West","All Mine","And still might want me a Stormy Daniels","11","2018",NA,"Stormy"
"Kanye West","All Mine","Almost what got Tristan single","11","2018",NA,"Tristan"
"21 Savage","All My Friends","I lost all my friends countin' bands in the Bentley coupe","67","2019","car","Bentley"
"21 Savage","All My Friends","I lost all my friends countin' bands in the Bentley coupe","67","2019","car","Bentley"
"21 Savage","All My Friends","I lost all my friends countin' bands in the Bentley coupe","67","2019","car","Bentley"
"21 Savage","All My Friends","I lost all my friends countin' bands in the Bentley coupe","67","2019","car","Bentley"
"21 Savage","All My Friends","I lost all my friends countin' bands in the Bentley coupe","67","2019","car","Bentley"
"Devin Dawson","All On Me","Baby put it all on me","52","2017",NA,"Baby"
"Devin Dawson","All On Me","Baby put it all on me","52","2017",NA,"Baby"
"Devin Dawson","All On Me","Baby you can bet your life on me","52","2017",NA,"Baby"
"Devin Dawson","All On Me","Baby put it all on me","52","2017",NA,"Baby"
"Billie Eilish","All The Good Girls Go To Hell","Peter's on vacation, an open invitation","46","2019",NA,"Peter"
"Billie Eilish","All The Good Girls Go To Hell","Peter should know better","46","2019",NA,"Peter"
"Halsey Featuring Big Sean & Stefflon Don","Alone","Baby, as soon as you meet me","100","2018",NA,"Baby"
"Halsey Featuring Big Sean & Stefflon Don","Alone","Baby, as soon as you meet me","100","2018",NA,"Baby"
"Halsey Featuring Big Sean & Stefflon Don","Alone","Baby, as soon as you meet me","100","2018",NA,"Baby"
"Halsey Featuring Big Sean & Stefflon Don","Alone","I got a new place in Cali","100","2018","state","Cali"
"Halsey Featuring Big Sean & Stefflon Don","Alone","I stayed a night out in Paris","100","2018","city","Paris"
"Lady Gaga","Always Remember Us This Way","Baby, it hurts","100","2018",NA,"Baby"
"Lady Gaga","Always Remember Us This Way","Baby, it hurts","100","2018",NA,"Baby"
"Lady Gaga","Always Remember Us This Way","Baby, it hurts","100","2018",NA,"Baby"
"Young Thug Featuring Nicki Minaj","Anybody","Lady Chanel for the luggage","89","2018","brand","Chanel"
"XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee","Arms Around You","Y conmingo estàs vestida de Chanel","28","2018","brand","Chanel"
"XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee","Arms Around You","Pull out the Rollie in a Mercedes","28","2018","car","Mercedes"
"21 Savage","ASMR","I still call her Becky","95","2019",NA,"Becky"
"21 Savage","ASMR","She don't get no new Chanel, she gon' throw a fit","95","2019","brand","Chanel"
"21 Savage","ASMR","Richard Mille cost so much I could push","95","2019",NA,"Richard"
"Future & Juice WRLD","Astronauts","I be with my Chi town brothers, Al Capone","82","2018",NA,"Al"
"Future & Juice WRLD","Astronauts","Blow my head off she deserve Chanel coco","82","2018","brand","Chanel"
"Future & Juice WRLD","Astronauts","Emilio Pucci, not regular fly","82","2018",NA,"Emilio"
"Future & Juice WRLD","Astronauts","Louis Vuitton bandana, too many shopping bags","82","2018","brand","Louis"
"Future & Juice WRLD","Astronauts","Richard Mille or the Rollie it don't tick tock","82","2018",NA,"Richard"
"Future & Juice WRLD","Astronauts","I grew up a bad kid, 'coulda been Riley on the Boondocks","82","2018",NA,"Riley"
"Future & Juice WRLD","Astronauts","White bitch nerdy, her name Susie, uh","82","2018",NA,"Susie"
"J. Cole","ATM","Now Cole, he important","42","2018",NA,"Cole"
"J. Cole","ATM","My niggas beside me like Tommy and Martin","42","2018",NA,"Martin"
"J. Cole","ATM","My niggas beside me like Tommy and Martin","42","2018",NA,"Tommy"
"Migos","Auto Pilot","Birds singing like Barry","85","2018",NA,"Barry"
"Migos","Auto Pilot","Skeletons singing like Mary","85","2018",NA,"Mary"
"Migos","Auto Pilot","Chopper ring, drumline, Nick Cannon","85","2018",NA,"Nick"
"Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals","Back To You","Baby, here we go again","40","2017",NA,"Baby"
"Halsey","Bad At Love","London girl with an attitude","5","2017","city","London"
"Selena Gomez","Bad Liar","But just like the battle of Troy","20","2017","city","Troy"
"Post Malone Featuring Nicki Minaj","Ball For Me","Baby, gonna take the charge and take the fall for me","16","2018",NA,"Baby"
"Post Malone Featuring Nicki Minaj","Ball For Me","Got 'em lookin' like James Harden at the awards","16","2018",NA,"James"
"JAY-Z Featuring Damian \Jr. Gong\ Marely","Bam","I'll Bobby Shmurda anybody you heard of","47","2017",NA,"Bobby"
"JAY-Z Featuring Damian \Jr. Gong\ Marely","Bam","Emory passed you niggas and he did a bid","47","2017",NA,"Emory"
"JAY-Z Featuring Damian \Jr. Gong\ Marely","Bam","Fuck all this pretty Shawn Carter shit nigga, HOV","47","2017",NA,"Shawn"
"JAY-Z Featuring Damian \Jr. Gong\ Marely","Bam","Shawn was on that gospel shit","47","2017",NA,"Shawn"
"JAY-Z Featuring Damian \Jr. Gong\ Marely","Bam","Shawn was in flight mode, I bought a Pyrex","47","2017",NA,"Shawn"
"JAY-Z Featuring Damian \Jr. Gong\ Marely","Bam","Fuck all this pretty Shawn Carter shit nigga, HOV","47","2017",NA,"Shawn"
"JAY-Z Featuring Damian \Jr. Gong\ Marely","Bam","Fuck all this pretty Shawn Carter shit nigga, HOV","47","2017",NA,"Shawn"
"JAY-Z Featuring Damian \Jr. Gong\ Marely","Bam","Ty","47","2017",NA,"Ty"
"JAY-Z Featuring Damian \Jr. Gong\ Marely","Bam","Ty jumped over niggas and he's like 5'6","47","2017",NA,"Ty"
"21 Savage","Bank Account","Rari matte black and I got a Bentley with me","12","2017","car","Bentley"
"21 Savage","Bank Account","I pull up in 'rari's and shit, with choppers and Harley's and shit","12","2017","motorcycle","Harley"
"21 Savage","Bank Account","Walk in Neiman Marcus and I spend a light fifty","12","2017","store","Marcus"
"21 Savage","Bank Account","Bitch, I'm Mad Max, you know I got Ziggy with me","12","2017",NA,"Max"
"21 Savage","Bank Account","I shoot like Reggie Mill', dog","12","2017",NA,"Reggie"
"Nicki Minaj","Barbie Dreams","A hand full of Weezy, sprinkle of Dave East","18","2018",NA,"Dave"
"Nicki Minaj","Barbie Dreams","I remember when I used to have a crush on Special Ed","18","2018",NA,"Ed"
"Nicki Minaj","Barbie Dreams","Curved him and went the Kim and Kanye way","18","2018",NA,"Kim"
"Nicki Minaj","Barbie Dreams","Like Mike Tyson, he was biting my shit","18","2018",NA,"Mike"
"Nicki Minaj","Barbie Dreams","And I would've had Odell Beckham banging the cake","18","2018",NA,"Odell"
"Nicki Minaj","Barbie Dreams","Shoutout to my Jews, l'chaim, Rick Rubin","18","2018",NA,"Rick"
"Nicki Minaj","Barbie Dreams","No I ain't Studdard and no I ain't Ruben","18","2018",NA,"Ruben"
"Nicki Minaj","Barbie Dreams","I'ma do that nigga Future dirty, word to Scottie","18","2018",NA,"Scottie"
"Nicki Minaj","Barbie Dreams","I turn Stefan into Urkel","18","2018",NA,"Stefan"
"Nicki Minaj","Barbie Dreams","Like Mike Tyson, he was biting my shit","18","2018",NA,"Tyson"
"Nicki Minaj","Barbie Tingz","That's Lil Weezy, the Barbie and Drizzy Drake","25","2018",NA,"Drake"
"Nicki Minaj","Barbie Tingz","Ritchie like Guy and I still eat Thai","25","2018",NA,"Guy"
"Nicki Minaj","Barbie Tingz","Ritchie like Guy and I still eat Thai","25","2018",NA,"Guy"
"Nicki Minaj","Barbie Tingz","I spoke to Jay the other day, he's still the kingpin","25","2018",NA,"Jay"
"Nicki Minaj","Barbie Tingz","Want the Nicki cheat code?","25","2018",NA,"Nicki"
"Nicki Minaj","Barbie Tingz","Want the Nicki cheat code?","25","2018",NA,"Nicki"
"Nicki Minaj","Barbie Tingz","If I ain't sign to Wayne's perfectly designed crew","25","2018",NA,"Wayne"
"Cardi B Featuring 21 Savage","Bartier Cardi","Bentley truck lane to lane","14","2018","car","Bentley"
"Cardi B Featuring 21 Savage","Bartier Cardi","Bentley truck lane to lane","14","2018","car","Bentley"
"Cardi B Featuring 21 Savage","Bartier Cardi","I'm in a Bentley truck, she keep on suckin' like it's tinted","14","2018","car","Bentley"
"Cardi B Featuring 21 Savage","Bartier Cardi","Bentley truck lane to lane","14","2018","car","Bentley"
"Cardi B Featuring 21 Savage","Bartier Cardi","Bentley truck lane to lane","14","2018","car","Bentley"
"Cardi B Featuring 21 Savage","Bartier Cardi","Put that bitch on Molly","14","2018","drug","Molly"
"Cardi B Featuring 21 Savage","Bartier Cardi","Bitch on Molly","14","2018","drug","Molly"
"Cardi B Featuring 21 Savage","Bartier Cardi","Said, that bitch on Molly","14","2018","drug","Molly"
"Cardi B Featuring 21 Savage","Bartier Cardi","The bitch so bad I popped a Molly 'fore I hit it","14","2018","drug","Molly"
"Migos Featuring 21 Savage","BBO (Bad Bitches Only)","Houston Texas, no who trilla?","48","2018","city","Houston"
"Migos Featuring 21 Savage","BBO (Bad Bitches Only)","All these Jones soldier fuck it they call me Quincy","48","2018",NA,"Quincy"
"Migos Featuring 21 Savage","BBO (Bad Bitches Only)","Reggie Miller shoot 'em bill up","48","2018",NA,"Reggie"
"Cardi B","Be Careful","But we more like Belly; Tommy and Keisha shit","11","2018",NA,"Keisha"
"Cardi B","Be Careful","But we more like Belly; Tommy and Keisha shit","11","2018",NA,"Tommy"
"Lil Pump Featuring Lil Wayne","Be Like Me","But the kid is not my son, shout out Billie Jean","72","2019",NA,"Billie Jean"
"Lil Pump Featuring Lil Wayne","Be Like Me","Mr. Dwayne Carter, only got one ID, yerr","72","2019",NA,"Dwayne"
"Lil Pump Featuring Lil Wayne","Be Like Me","Everybody wanna go and smash Kim K","72","2019",NA,"Kim"
"A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again","Beast Mode","I gotta keep a pistol in my Bentley coupe, yeah","86","2017","car","Bentley"
"A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again","Beast Mode","I mix the Louis and Supreme that's limited edition","86","2017","brand","Louis"
"A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again","Beast Mode","Those is Mike Amiri jeans though","86","2017",NA,"Mike"
"A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again","Beast Mode","Those is Mike Amiri jeans though","86","2017",NA,"Mike"
"A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again","Beast Mode","Those is Mike Amiri jeans though","86","2017",NA,"Mike"
"A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again","Beast Mode","Those is Mike Amiri jeans though","86","2017",NA,"Mike"
"A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again","Beast Mode","Yeah, bad little bitch, yeah she came from Puerto Rico","86","2017","country - Puerto Rico","Rico"
"A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again","Beast Mode","Yeah, bad little bitch, yeah she came from Puerto Rico","86","2017","country - Puerto Rico","Rico"
"A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again","Beast Mode","Yeah, bad little bitch, yeah she came from Puerto Rico","86","2017","country - Puerto Rico","Rico"
"A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again","Beast Mode","Yeah, bad little bitch, yeah she came from Puerto Rico","86","2017","country - Puerto Rico","Rico"
"Bazzi Featuring Camila Cabello","Beautiful","Baby come a little closer let me taste it","26","2018",NA,"Baby"
"6ix9ine Featuring Anuel AA","BEBE","Baby, con ra-ta-ta-ta-ta","30","2018",NA,"Baby"
"6ix9ine Featuring Anuel AA","BEBE","Baby, yo soy tu criminal","30","2018",NA,"Baby"
"6ix9ine Featuring Anuel AA","BEBE","Baby go ra-ta-ta-ta-ta","30","2018",NA,"Baby"
"6ix9ine Featuring Anuel AA","BEBE","Baby, tu novio lo va a olvidar","30","2018",NA,"Baby"
"6ix9ine Featuring Anuel AA","BEBE","Baby, con ra-ta-ta-ta-ta","30","2018",NA,"Baby"
"6ix9ine Featuring Anuel AA","BEBE","Baby, conmigo te va' a mudar","30","2018",NA,"Baby"
"6ix9ine Featuring Anuel AA","BEBE","Baby, con ra-bang-bang-bang-bang","30","2018",NA,"Baby"
"6ix9ine Featuring Anuel AA","BEBE","Baby, do' un tiro', lo voa' matar","30","2018",NA,"Baby"
"6ix9ine Featuring Anuel AA","BEBE","Baby, olvídate de él","30","2018",NA,"Baby"
"6ix9ine Featuring Anuel AA","BEBE","Ella se pone pornográfica en la intimidad","30","2018","pronoun","Ella"
"6ix9ine Featuring Anuel AA","BEBE","Ella se pone pornográfica, no es tímida","30","2018","pronoun","Ella"
"Jacquees","B.E.D.","Know she think I'm Michael Jackson, Billie Jean moon walk","69","2017",NA,"Billie Jean"
"Jacquees","B.E.D.","Know she think I'm Michael Jackson, Billie Jean moon walk","69","2017",NA,"Michael"
"Nicki Minaj Featuring Ariana Grande","Bed","I got Carter III on repeat","42","2018",NA,"Carter"
"Liam Payne","Bedroom Floor","Baby","98","2017",NA,"Baby"
"Liam Payne","Bedroom Floor","Baby","98","2017",NA,"Baby"
"Eminem","Believe","Point it towards corporate America","92","2018","country","America"
"Eminem","Believe","To go through and deal with that Bruce Willis","92","2018",NA,"Bruce"
"Romeo Santos Featuring Nicky Jam & Daddy Yankee","Bella y Sensual","Nicky, Nicky, Nicky Jam","95","2017",NA,"Nicky"
"Romeo Santos Featuring Nicky Jam & Daddy Yankee","Bella y Sensual","Nicky, Nicky, Nicky Jam","95","2017",NA,"Nicky"
"Romeo Santos Featuring Nicky Jam & Daddy Yankee","Bella y Sensual","Nicky, Nicky, Nicky Jam","95","2017",NA,"Nicky"
"Romeo Santos Featuring Nicky Jam & Daddy Yankee","Bella y Sensual","Nicky vuela como un fenix, Romeo es bachata king","95","2017",NA,"Nicky"
"Romeo Santos Featuring Nicky Jam & Daddy Yankee","Bella y Sensual","Romeo te habla bonito y","95","2017",NA,"Romeo"
"Romeo Santos Featuring Nicky Jam & Daddy Yankee","Bella y Sensual","Nicky vuela como un fenix, Romeo es bachata king","95","2017",NA,"Romeo"
"Lil Baby & Gunna","Belly","How foreign my tint is, I still rock the Jordan","80","2018",NA,"Jordan"
"Lil Baby & Gunna","Belly","I got a bitch like Keisha off of Belly","80","2018",NA,"Keisha"
"Cardi B Featuring Chance The Rapper","Best Life","Police, no Andre, G like 'Venchy","100","2018",NA,"Andre"
"Cardi B Featuring Chance The Rapper","Best Life","Now they hold cash, won't peak like Dante","100","2018",NA,"Dante"
"Cardi B Featuring Chance The Rapper","Best Life","Skrrt skrrt, Jamie Foxx in your town, like","100","2018",NA,"Jamie"
"Cardi B Featuring Chance The Rapper","Best Life","Nigga, you a pussy and a rat, you like Tom & Jerry","100","2018",NA,"Jerry"
"Cardi B Featuring Chance The Rapper","Best Life","Nigga, you a pussy and a rat, you like Tom & Jerry","100","2018",NA,"Tom"
"Post Malone","Better Now","With my brothers like it's Jonas, Jonas","10","2018",NA,"Jonas"
"Post Malone","Better Now","With my brothers like it's Jonas, Jonas","10","2018",NA,"Jonas"
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj","Big Bank","I can buy a Bentley, don't talk to me","16","2018","car","Bentley"
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj","Big Bank","Yes I cop mad Chanel and mad Given'","16","2018","brand","Chanel"
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj","Big Bank","I'm more Colin Kaepernick","16","2018",NA,"Colin"
"Kendrick Lamar & Travis Scott","Big Shot","Kenny","71","2018",NA,"Kenny"
"Kendrick Lamar & Travis Scott","Big Shot","Runnin' through these waves, like I'm Moses, out the booth","71","2018",NA,"Moses"
"Kendrick Lamar & Travis Scott","Big Shot","Forget your name like I'm Steve","71","2018",NA,"Steve"
"Quavo","Biggest Alley Oop","Thinkin' about wrappin' a Benz yellow, Kill Bill","86","2018",NA,"Bill"
"Quavo","Biggest Alley Oop","Thinkin' 'bout gettin' a big Billy","86","2018",NA,"Billy"
"Quavo","Biggest Alley Oop","It's bigger than Jay","86","2018",NA,"Jay"
"Quavo","Biggest Alley Oop","And callin' it Shaquille O'Neal","86","2018",NA,"Shaquille"
"Nicki Minaj X Mike WiLL Made-It","Black Barbies","Usually I'm a Christian but this peace is Buddhist","97","2017","religion","Christian"
"Nicki Minaj X Mike WiLL Made-It","Black Barbies","Island girl, Donald Trump want me go home","97","2017",NA,"Donald"
"Nicki Minaj X Mike WiLL Made-It","Black Barbies","You gon' be floatin' in dem rivers like you know Joan","97","2017",NA,"Joan"
"Nicki Minaj X Mike WiLL Made-It","Black Barbies","Mike Will Made","97","2017",NA,"Mike"
"Nicki Minaj X Mike WiLL Made-It","Black Barbies","Peter piper picked a pepper","97","2017",NA,"Peter"
"Nicki Minaj X Mike WiLL Made-It","Black Barbies","Mike Will Made","97","2017",NA,"Will"
"Kendrick Lamar","Black Panther","King's vision, Black Panther, King Kendrick, all hail the king!","91","2018",NA,"Kendrick"
"Kendrick Lamar","Black Panther","King's vision, Black Panther, King Kendrick, all hail the king!","91","2018",NA,"King"
"Kendrick Lamar","Black Panther","King's vision, Black Panther, King Kendrick, all hail the king!","91","2018",NA,"King"
"Logic Featuring Damian Lemar Hudson","Black SpiderMan","I don't wanna be a Christian, Muslim, gay, straight, or bi, see you later, bye","87","2017","religion","Christian"
"Logic Featuring Damian Lemar Hudson","Black SpiderMan","I'm biracial so bye Felicia","87","2017",NA,"Felicia"
"Logic Featuring Damian Lemar Hudson","Black SpiderMan","Jesus, Black Jesus","87","2017",NA,"Jesus"
"Logic Featuring Damian Lemar Hudson","Black SpiderMan","Jesus, Black Jesus","87","2017",NA,"Jesus"
"Logic Featuring Damian Lemar Hudson","Black SpiderMan","Jesus, Black Jesus","87","2017",NA,"Jesus"
"Logic Featuring Damian Lemar Hudson","Black SpiderMan","Jesus, Black Jesus","87","2017",NA,"Jesus"
"Logic Featuring Damian Lemar Hudson","Black SpiderMan","Praise Black Jesus now call the preacher","87","2017",NA,"Jesus"
"Logic Featuring Damian Lemar Hudson","Black SpiderMan","Maybe Jesus was black","87","2017",NA,"Jesus"
"Logic Featuring Damian Lemar Hudson","Black SpiderMan","Maybe Jesus had dreads","87","2017",NA,"Jesus"
"Logic Featuring Damian Lemar Hudson","Black SpiderMan","I'm just as black as my cousin Keisha","87","2017",NA,"Keisha"
"Logic Featuring Damian Lemar Hudson","Black SpiderMan","I'm just as white as that Mona Lisa","87","2017",NA,"Mona Lisa"
"Logic Featuring Damian Lemar Hudson","Black SpiderMan","Nigga, that's Martin!","87","2017",NA,"Martin"
"Drake","Blem","This Virginia done me off already","38","2017",NA,"Virginia"
"Drake","Blue Tint","Mario!","30","2018",NA,"Mario"
"Cardi B","Bodak Yellow (Money Moves)","Another check from Mona Scott","1","2017",NA,"Mona"
"Katy Perry Featuring Migos","Bon Appetit","Katy Perry, Migos, ay","59","2017",NA,"Katy"
"Katy Perry Featuring Migos","Bon Appetit","A Kobe flown in","59","2017",NA,"Kobe"
"Blac Youngsta","Booty","Mike","73","2018",NA,"Mike"
"Blac Youngsta","Booty","Mike","73","2018",NA,"Mike"
"Blac Youngsta","Booty","Mike","73","2018",NA,"Mike"
"Blac Youngsta","Booty","Tyson on the booty","73","2018",NA,"Tyson"
