id,city,state,population,latitude,longitude,gestation_8_duration,gestation_8_duration_closed,gestation_12_duration,gestation_12_duration_closed,gestation_16_duration,gestation_16_duration_closed,gestation_20_duration,gestation_20_duration_closed
san-bernardino-california,San Bernardino,California,216108,34.108345,-117.289765,0,0,0,0,0,0,0,0
birmingham-alabama,Birmingham,Alabama,212461,33.520661,-86.802490,0,1,0,1,1,3,1,3
spokane-washington,Spokane,Washington,213272,47.658780,-117.426046,0,0,0,4,0,4,6,8
rochester-new-york,Rochester,New York,209802,43.161030,-77.610922,0,0,0,2,2,2,8,8
des-moines-iowa,Des Moines,Iowa,210330,41.600545,-93.609106,0,1,0,3,0,3,3,4
modesto-california,Modesto,California,211266,37.639097,-120.996878,0,0,0,1,0,1,0,2
fayetteville-north-carolina,Fayetteville,North Carolina,201963,35.052664,-78.878358,0,0,0,0,0,2,0,2
tacoma-washington,Tacoma,Washington,207948,47.252877,-122.444291,0,0,0,0,0,0,0,1
oxnard-california,Oxnard,California,207254,34.197505,-119.177052,0,0,0,0,0,0,0,1
fontana-california,Fontana,California,207460,34.092233,-117.435048,0,0,0,0,0,0,0,0
columbus-georgia,Columbus,Georgia,200579,32.460976,-84.987709,0,2,0,2,3,3,3,3
montgomery-alabama,Montgomery,Alabama,200602,32.366805,-86.299969,0,2,0,2,3,4,3,4
moreno-valley-california,Moreno Valley,California,204198,33.942466,-117.229672,0,0,0,0,0,0,0,0
shreveport-louisiana,Shreveport,Louisiana,197204,32.525152,-93.750179,0,5,0,5,0,5,5,6
aurora-illinois,Aurora,Illinois,200661,41.760585,-88.320072,0,0,0,0,0,0,1,1
yonkers-new-york,Yonkers,New York,201116,40.931210,-73.898747,0,0,0,0,0,0,0,0
akron-ohio,Akron,Ohio,197542,41.081445,-81.519005,0,0,0,0,0,1,1,6
huntington-beach-california,Huntington Beach,California,201899,33.659484,-117.998803,0,0,0,0,0,0,0,0
little-rock-arkansas,Little Rock,Arkansas,197992,34.746481,-92.289595,0,0,0,4,0,6,0,9
augusta-richmond-county-georgia,Augusta,Georgia,197182,33.473498,-82.010515,0,2,0,2,0,4,4,4
amarillo-texas,Amarillo,Texas,198645,35.221997,-101.831297,7,7,7,8,7,8,7,8
glendale-california,Glendale,California,201020,34.142508,-118.255075,0,0,0,0,0,0,0,0
mobile-alabama,Mobile,Alabama,194288,30.695366,-88.039891,0,1,0,1,4,6,7,9
grand-rapids-michigan,Grand Rapids,Michigan,195097,42.963360,-85.668086,0,0,0,1,0,1,0,2
salt-lake-city-utah,Salt Lake City,Utah,192672,40.760779,-111.891047,0,0,0,0,0,11,0,11
tallahassee-florida,Tallahassee,Florida,189907,30.438256,-84.280733,0,4,0,4,4,5,4,5
huntsville-alabama,Huntsville,Alabama,190582,34.730369,-86.586104,0,3,0,3,0,3,0,4
grand-prairie-texas,Grand Prairie,Texas,187809,32.745964,-96.997785,0,0,0,0,0,0,0,6
knoxville-tennessee,Knoxville,Tennessee,185291,35.960638,-83.920739,0,0,0,3,5,6,6,6
worcester-massachusetts,Worcester,Massachusetts,184815,42.262593,-71.802293,0,1,0,1,0,1,0,1
newport-news-virginia,Newport News,Virginia,182385,37.087082,-76.473012,1,1,1,1,2,5,5,5
brownsville-texas,Brownsville,Texas,183887,25.901747,-97.497484,2,7,2,7,2,7,8,10
overland-park-kansas,Overland Park,Kansas,186515,38.982228,-94.670792,0,0,0,0,0,0,0,0
santa-clarita-california,Santa Clarita,California,182371,34.391664,-118.542586,0,0,0,0,0,1,0,1
providence-rhode-island,Providence,Rhode Island,179207,41.823989,-71.412834,0,0,0,0,0,0,0,0
garden-grove-california,Garden Grove,California,175393,33.774269,-117.937995,0,0,0,0,0,0,0,0
chattanooga-tennessee,Chattanooga,Tennessee,176588,35.045630,-85.309680,3,3,3,3,3,3,3,3
oceanside-california,Oceanside,California,175691,33.195870,-117.379483,0,0,1,1,1,1,1,1
jackson-mississippi,Jackson,Mississippi,170674,32.298757,-90.184810,0,5,0,5,0,5,5,8
fort-lauderdale-florida,Fort Lauderdale,Florida,178590,26.122439,-80.137317,0,0,0,0,0,0,0,0
santa-rosa-california,Santa Rosa,California,174972,38.440429,-122.714055,0,1,0,1,2,2,2,2
rancho-cucamonga-california,Rancho Cucamonga,California,175236,34.839964,-115.967051,0,0,0,0,0,0,0,1
port-st--lucie-florida,Port St. Lucie,Florida,179413,27.273049,-80.358226,0,0,0,1,0,1,1,2
tempe-arizona,Tempe,Arizona,175826,33.425510,-111.940005,0,0,0,0,0,0,0,0
ontario-california,Ontario,California,171214,34.063344,-117.650888,0,0,0,0,0,0,0,0
vancouver-washington,Vancouver,Washington,172860,45.631840,-122.671606,0,0,0,0,0,4,0,4
cape-coral-florida,Cape Coral,Florida,175229,26.562854,-81.949533,0,0,0,0,0,0,0,3
sioux-falls-south-dakota,Sioux Falls,South Dakota,171544,43.544596,-96.731103,0,5,0,5,5,5,5,7
springfield-missouri,Springfield,Missouri,166810,37.208957,-93.292299,4,5,5,5,5,5,5,5
peoria-arizona,Peoria,Arizona,171237,33.580596,-112.237378,0,0,0,0,0,0,0,1
pembroke-pines-florida,Pembroke Pines,Florida,166611,26.007765,-80.296256,0,0,0,0,0,0,0,0
elk-grove-california,Elk Grove,California,166913,38.408799,-121.371618,0,0,0,0,0,0,0,1
salem-oregon,Salem,Oregon,164549,44.942898,-123.035096,0,1,0,1,1,6,1,6
lancaster-california,Lancaster,California,161103,34.686785,-118.154163,1,1,1,1,1,1,1,2
corona-california,Corona,California,164226,33.875293,-117.566438,0,0,0,0,0,0,0,0
eugene-oregon,Eugene,Oregon,163460,44.052069,-123.086754,0,2,0,2,3,7,3,7
palmdale-california,Palmdale,California,158351,34.579434,-118.116461,1,1,1,1,1,1,1,1
salinas-california,Salinas,California,157380,36.677737,-121.655501,0,0,0,1,0,1,1,3
springfield-massachusetts,Springfield,Massachusetts,154341,42.101483,-72.589811,0,0,0,1,0,1,0,1
pasadena-texas,Pasadena,Texas,153784,29.691063,-95.209101,0,0,0,0,0,0,0,5
fort-collins-colorado,Fort Collins,Colorado,161175,40.585260,-105.084423,0,1,0,2,0,2,2,2
hayward-california,Hayward,California,158289,37.668821,-122.080796,0,0,0,0,0,0,0,0
pomona-california,Pomona,California,153266,34.055103,-117.749991,0,0,0,0,0,0,0,1
cary-north-carolina,Cary,North Carolina,159769,35.791540,-78.781117,0,0,0,0,0,0,0,1
rockford-illinois,Rockford,Illinois,148278,42.271131,-89.093995,2,2,2,2,2,2,2,2
alexandria-virginia,Alexandria,Virginia,153511,38.804836,-77.046921,0,0,0,0,0,0,0,0
escondido-california,Escondido,California,151451,33.119207,-117.086421,0,0,0,1,0,1,0,1
mckinney-texas,McKinney,Texas,162898,33.197246,-96.639782,0,0,0,0,0,0,0,6
kansas-city-kansas,Kansas City,Kansas,151306,39.114053,-94.627464,0,0,0,0,0,0,0,0
joliet-illinois,Joliet,Illinois,147861,41.525031,-88.081725,0,1,0,1,0,1,1,1
sunnyvale-california,Sunnyvale,California,151754,37.368830,-122.036350,0,0,0,0,0,0,0,1
torrance-california,Torrance,California,148475,33.835849,-118.340629,0,0,0,0,0,0,0,0
bridgeport-connecticut,Bridgeport,Connecticut,147629,41.186548,-73.195177,0,0,0,1,0,1,1,1
lakewood-colorado,Lakewood,Colorado,152597,39.704709,-105.081373,0,0,0,0,0,0,0,0
hollywood-florida,Hollywood,Florida,149728,26.011201,-80.149490,0,0,0,0,0,0,0,0
paterson-new-jersey,Paterson,New Jersey,147754,40.916765,-74.171811,0,0,0,0,0,0,0,0
naperville-illinois,Naperville,Illinois,147100,41.750839,-88.153535,0,0,0,0,0,0,1,1
syracuse-new-york,Syracuse,New York,144142,43.048122,-76.147424,0,1,0,1,3,4,6,6
mesquite-texas,Mesquite,Texas,144788,32.766796,-96.599159,0,0,0,0,0,0,0,6
dayton-ohio,Dayton,Ohio,140599,39.758948,-84.191607,0,1,0,1,0,1,0,3
savannah-georgia,Savannah,Georgia,145674,32.083541,-81.099834,0,3,0,3,0,4,4,4
clarksville-tennessee,Clarksville,Tennessee,149176,36.529771,-87.359453,1,2,1,2,1,5,5,8
orange-california,Orange,California,140992,33.787914,-117.853101,0,0,0,0,0,0,0,0
pasadena-california,Pasadena,California,142250,34.147785,-118.144515,0,0,0,0,0,0,0,0
fullerton-california,Fullerton,California,140847,33.870365,-117.924212,0,0,0,0,0,0,0,0
killeen-texas,Killeen,Texas,140806,31.117119,-97.727796,1,2,1,2,1,2,2,4
frisco-texas,Frisco,Texas,154407,33.150674,-96.823612,1,1,1,1,1,1,1,5
hampton-virginia,Hampton,Virginia,136454,37.029869,-76.345222,0,0,0,1,2,5,5,5
mcallen-texas,McAllen,Texas,140269,26.203407,-98.230012,0,6,0,6,0,6,7,9
warren-michigan,Warren,Michigan,135358,42.514457,-83.014653,0,0,0,0,0,0,0,0
bellevue-washington,Bellevue,Washington,139820,47.610150,-122.201516,0,0,0,0,0,0,0,0
west-valley-city-utah,West Valley City,Utah,136208,40.691613,-112.001050,0,0,0,0,0,11,0,11
columbia-south-carolina,Columbia,South Carolina,133803,34.000710,-81.034814,0,2,0,2,2,2,3,4
olathe-kansas,Olathe,Kansas,134305,38.881396,-94.819128,0,0,0,0,0,0,0,0
sterling-heights-michigan,Sterling Heights,Michigan,132052,42.580312,-83.030203,0,0,0,0,0,0,0,0
new-haven-connecticut,New Haven,Connecticut,130322,41.308274,-72.927883,0,0,0,1,0,1,1,2
miramar-florida,Miramar,Florida,137132,25.986076,-80.303560,0,0,0,0,0,0,0,0
waco-texas,Waco,Texas,132356,31.549333,-97.146670,0,2,0,2,2,2,3,3
thousand-oaks-california,Thousand Oaks,California,129339,34.170561,-118.837594,0,0,0,0,0,0,0,0
cedar-rapids-iowa,Cedar Rapids,Iowa,130405,41.977880,-91.665623,1,1,1,1,1,1,1,7
charleston-south-carolina,Charleston,South Carolina,132609,32.776475,-79.931051,0,3,0,3,4,5,6,6
visalia-california,Visalia,California,130104,36.330228,-119.292058,1,1,1,1,1,1,1,2
topeka-kansas,Topeka,Kansas,127265,39.055824,-95.689018,2,2,2,2,2,2,2,2
elizabeth-new-jersey,Elizabeth,New Jersey,129007,40.663992,-74.210701,0,0,0,0,0,1,0,1
gainesville-florida,Gainesville,Florida,130128,29.651634,-82.324826,0,0,0,0,0,1,0,1
thornton-colorado,Thornton,Colorado,133451,39.868041,-104.971924,0,0,0,0,0,0,0,0
roseville-california,Roseville,California,130269,38.752124,-121.288006,0,0,0,0,0,0,0,0
carrollton-texas,Carrollton,Texas,133168,32.975642,-96.889964,0,0,0,0,0,0,0,6
coral-springs-florida,Coral Springs,Florida,129485,26.271192,-80.270604,0,0,0,1,0,1,0,1
stamford-connecticut,Stamford,Connecticut,128874,41.053430,-73.538734,0,0,0,0,0,0,0,1
simi-valley-california,Simi Valley,California,126788,34.269447,-118.781482,0,0,0,0,0,0,0,0
concord-california,Concord,California,128667,37.977978,-122.031073,0,0,0,0,0,0,0,0
hartford-connecticut,Hartford,Connecticut,124006,41.763711,-72.685093,0,0,0,0,0,1,0,1
kent-washington,Kent,Washington,126952,47.380933,-122.234843,0,0,0,0,0,0,0,0
lafayette-louisiana,Lafayette,Louisiana,127657,30.224090,-92.019843,2,4,2,4,2,4,6,11
midland-texas,Midland,Texas,132950,31.997346,-102.077915,8,8,8,8,8,9,9,9
surprise-arizona,Surprise,Arizona,128422,33.629234,-112.367928,1,1,1,1,1,1,1,1
denton-texas,Denton,Texas,131044,33.214841,-97.133068,1,1,1,1,1,1,1,5
victorville-california,Victorville,California,122225,34.536218,-117.292764,0,1,1,1,1,1,1,1
evansville-indiana,Evansville,Indiana,119943,37.971559,-87.571090,3,3,3,3,3,4,5,5
santa-clara-california,Santa Clara,California,126215,37.354108,-121.955236,0,0,0,0,0,0,0,1
abilene-texas,Abilene,Texas,121721,32.448736,-99.733144,4,4,4,4,4,5,5,7
athens-clarke-county-georgia,Athens,Georgia,122604,33.951935,-83.357567,1,2,2,2,2,2,2,2
vallejo-california,Vallejo,California,121253,38.104086,-122.256637,0,0,0,0,0,0,1,1
allentown-pennsylvania,Allentown,Pennsylvania,120207,40.608430,-75.490183,0,0,0,0,0,0,0,0
norman-oklahoma,Norman,Oklahoma,120284,35.222567,-97.439478,0,0,0,0,0,5,0,5
beaumont-texas,Beaumont,Texas,118129,30.080174,-94.126556,2,2,2,2,2,2,2,7
independence-missouri,Independence,Missouri,117255,39.091116,-94.415507,0,0,0,0,0,0,0,0
murfreesboro-tennessee,Murfreesboro,Tennessee,126118,35.845621,-86.390270,1,1,1,1,1,3,3,6
ann-arbor-michigan,Ann Arbor,Michigan,117070,42.280826,-83.743038,0,1,0,1,0,1,1,1
springfield-illinois,Springfield,Illinois,116565,39.781721,-89.650148,0,1,0,2,0,2,2,2
berkeley-california,Berkeley,California,120972,37.871593,-122.272747,0,0,0,0,0,0,0,0
peoria-illinois,Peoria,Illinois,115070,40.693649,-89.588986,0,2,0,2,2,2,2,4
provo-utah,Provo,Utah,115264,40.233844,-111.658534,1,1,1,1,1,10,1,10
el-monte-california,El Monte,California,116732,34.068621,-118.027567,0,0,0,0,0,0,0,0
columbia-missouri,Columbia,Missouri,119108,38.951705,-92.334072,3,4,3,4,3,4,3,4
lansing-michigan,Lansing,Michigan,115056,42.732535,-84.555535,0,0,0,1,0,1,0,1
fargo-north-dakota,Fargo,North Dakota,118523,46.877186,-96.789803,0,6,0,6,0,7,7,7
downey-california,Downey,California,114219,33.940109,-118.133159,0,0,0,0,0,0,0,0
costa-mesa-california,Costa Mesa,California,113204,33.641216,-117.918822,0,0,0,0,0,0,0,0
wilmington-north-carolina,Wilmington,North Carolina,115933,34.225726,-77.944710,0,3,0,3,3,4,3,4
arvada-colorado,Arvada,Colorado,115368,39.802764,-105.087484,0,0,0,0,0,0,0,0
inglewood-california,Inglewood,California,111666,33.961680,-118.353131,0,0,0,0,0,0,0,0
miami-gardens-florida,Miami Gardens,Florida,113187,25.942038,-80.245604,0,0,0,0,0,0,0,0
carlsbad-california,Carlsbad,California,113453,33.158093,-117.350594,0,0,0,1,0,1,0,1
westminster-colorado,Westminster,Colorado,113130,39.836653,-105.037205,0,0,0,0,0,0,0,0
rochester-minnesota,Rochester,Minnesota,112225,44.012122,-92.480199,2,2,2,2,2,2,2,2
odessa-texas,Odessa,Texas,118968,31.845682,-102.367643,8,8,8,8,8,9,9,10
manchester-new-hampshire,Manchester,New Hampshire,110229,42.995640,-71.454789,0,0,0,0,1,1,1,1
elgin-illinois,Elgin,Illinois,112111,42.035408,-88.282567,1,1,1,1,1,1,1,1
west-jordan-utah,West Jordan,Utah,111946,40.609670,-111.939103,0,0,0,0,0,11,0,11
round-rock-texas,Round Rock,Texas,115997,30.508255,-97.678896,0,0,0,0,0,0,0,3
clearwater-florida,Clearwater,Florida,113003,27.965853,-82.800103,0,0,0,0,0,1,0,1
waterbury-connecticut,Waterbury,Connecticut,108802,41.558152,-73.051496,0,0,1,1,1,1,1,1
gresham-oregon,Gresham,Oregon,110553,45.500136,-122.430201,0,1,0,1,1,4,1,4
fairfield-california,Fairfield,California,112970,38.249358,-122.039966,0,0,0,1,0,1,1,1
billings-montana,Billings,Montana,110263,45.783286,-108.500690,0,0,0,7,0,10,0,15
lowell-massachusetts,Lowell,Massachusetts,110699,42.633425,-71.316172,1,1,1,1,1,1,1,1
san-buenaventura--ventura--california,San Buenaventura (Ventura),California,109708,34.274646,-119.229032,0,0,0,0,0,0,0,1
pueblo-colorado,Pueblo,Colorado,109412,38.254447,-104.609141,1,3,1,3,1,3,3,3
high-point-north-carolina,High Point,North Carolina,110268,35.955692,-80.005318,0,1,0,1,0,2,0,2
west-covina-california,West Covina,California,108484,34.068621,-117.938953,0,0,0,0,0,0,0,0
richmond-california,Richmond,California,109708,37.935758,-122.347749,0,0,0,0,0,0,0,0
murrieta-california,Murrieta,California,109830,33.553914,-117.213923,0,1,0,1,0,1,0,1
cambridge-massachusetts,Cambridge,Massachusetts,110402,42.373616,-71.109733,0,0,0,0,0,0,0,0
antioch-california,Antioch,California,110542,38.004921,-121.805789,0,0,0,0,0,1,1,1
temecula-california,Temecula,California,112011,33.493639,-117.148365,0,0,0,1,0,1,0,1
norwalk-california,Norwalk,California,107140,33.902237,-118.081733,0,0,0,0,0,0,0,0
centennial-colorado,Centennial,Colorado,109741,39.580745,-104.877173,0,0,0,0,0,0,0,0
everett-washington,Everett,Washington,108010,47.978985,-122.202079,0,0,0,0,0,1,0,1
palm-bay-florida,Palm Bay,Florida,107888,28.034462,-80.588665,1,2,1,2,1,2,2,2
wichita-falls-texas,Wichita Falls,Texas,104710,33.913708,-98.493387,3,3,3,3,3,4,4,4
green-bay-wisconsin,Green Bay,Wisconsin,105207,44.519159,-88.019826,3,3,3,3,3,3,3,8
daly-city-california,Daly City,California,106562,37.687924,-122.470208,0,0,0,0,0,0,0,0
burbank-california,Burbank,California,105319,34.180839,-118.308966,0,0,0,0,0,0,0,0
richardson-texas,Richardson,Texas,110815,32.948333,-96.729852,0,0,0,0,0,0,0,6
pompano-beach-florida,Pompano Beach,Florida,107762,26.237860,-80.124767,0,0,0,0,0,0,0,0
north-charleston-south-carolina,North Charleston,South Carolina,108304,32.854620,-79.974810,0,3,0,3,4,5,6,6
broken-arrow-oklahoma,Broken Arrow,Oklahoma,106563,36.060949,-95.797453,0,3,0,3,3,5,3,5
boulder-colorado,Boulder,Colorado,107349,40.014986,-105.270546,0,0,0,0,0,1,0,1
west-palm-beach-florida,West Palm Beach,Florida,106779,26.715342,-80.053375,0,0,0,0,0,1,0,1
santa-maria-california,Santa Maria,California,105093,34.953034,-120.435719,0,1,1,2,1,2,3,4
el-cajon-california,El Cajon,California,103679,32.794773,-116.962527,0,0,0,0,0,0,0,0
davenport-iowa,Davenport,Iowa,102582,41.523644,-90.577637,0,2,2,2,2,2,2,5
rialto-california,Rialto,California,103132,34.106400,-117.370323,0,0,0,0,0,0,0,0
las-cruces-new-mexico,Las Cruces,New Mexico,101643,32.319940,-106.763654,1,1,1,1,6,6,6,11
