"schoolName","state","sanction","offense"
"JULIAN HIGH","CA","attend Saturday school","3rd"
"CARROLLTON HIGH SCHOOL","GA","attend Saturday school","2nd"
"RANCHO BUENA VISTA HIGH","CA","attend Saturday school","2nd"
"SHADOW HILLS HIGH","CA","attend Saturday school","3rd"
"ATASCADERO HIGH","CA","attend Saturday school","Any"
"RUSSELL HIGH","KS","attend Saturday school","3rd"
"ALISO NIGUEL HIGH","CA","attend Saturday school","4th"
"QUARTZ HILL HIGH","CA","attend Saturday school","3rd"
"MARION L STEELE HIGH SCHOOL","OH","attend Saturday school","Any"
"NORTHWEST CABARRUS HIGH","NC","attend Saturday school","4th"
"MARLIN H S","TX","attend Saturday school","Any"
"SEQUOYAH HS","OK","attend Saturday school","1st"
"SEQUOYAH HS","OK","attend Saturday school","3rd"
"HAMILTON HIGH SCHOOL","AZ","campus community service","Any"
"HICKSVILLE HIGH SCHOOL","NY","change clothes","Any"
"PRIOR LAKE HIGH SCHOOL","MN","change clothes","Any"
"LA FERIA H S","TX","change clothes","Any"
"OAKDALE HIGH","MD","change clothes","Any"
"BARNES COUNTY NORTH HIGH SCHOOL","ND","change clothes","Any"
"FONDA-FULTONVILLE SENIOR HIGH SCHOOL","NY","change clothes","Any"
"MOHONASEN SENIOR HIGH SCHOOL","NY","change clothes","Any"
"DODGEVILLE HIGH","WI","change clothes","Any"
"TEAGUE H S","TX","change clothes","Any"
"RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL","NY","change clothes","Any"
"NORTHGLENN HIGH SCHOOL","CO","change clothes","1st"
"ANAMOSA HIGH SCHOOL","IA","change clothes","1st"
"ANAMOSA HIGH SCHOOL","IA","change clothes","2nd"
"ANAMOSA HIGH SCHOOL","IA","change clothes","3rd"
"ANAMOSA HIGH SCHOOL","IA","change clothes","4th"
"RIO RANCHO HIGH","NM","change clothes","1st"
"RIO RANCHO HIGH","NM","change clothes","2nd"
"RIO RANCHO HIGH","NM","change clothes","3rd"
"CARMEL HIGH SCHOOL","NY","change clothes","Any"
"BREMOND H S","TX","change clothes","1st"
"ROBERTSDALE HIGH SCH","AL","change clothes","Any"
"LATHROP HIGH SCHOOL","AK","change clothes","1st"
"BEGGS HS","OK","change clothes","1st"
"BEGGS HS","OK","change clothes","2nd"
"BEGGS HS","OK","change clothes","3rd"
"BEGGS HS","OK","change clothes","4th"
"BELTON H S","TX","change clothes","1st"
"MILTON HIGH","WI","change clothes","Any"
"SOUTHERN COLUMBIA HS","PA","change clothes","1st"
"SOUTHERN COLUMBIA HS","PA","change clothes","2nd"
"ELSBERRY HIGH","MO","change clothes","Any"
"PORT JERVIS SENIOR HIGH SCHOOL","NY","change clothes","Any"
"LONGMONT HIGH SCHOOL","CO","change clothes","1st"
"ELKO HIGH SCHOOL","NV","change clothes","1st"
"ELKO HIGH SCHOOL","NV","change clothes","2nd"
"ELKO HIGH SCHOOL","NV","change clothes","3rd"
"IRONTON HIGH SCHOOL","OH","change clothes","Any"
"SOUTH JEFFERSON HIGH SCHOOL","NY","change clothes","Any"
"SIMSBURY HIGH SCHOOL","CT","change clothes","Any"
"NORTHBRIDGE HIGH","MA","change clothes","Any"
"DEPEW HIGH SCHOOL","NY","change clothes","Any"
"LOUISIANA HIGH","MO","change clothes","Any"
"BUTLER HIGH SCHOOL","OH","change clothes","Any"
"GATEWAY HIGH SCHOOL","CO","change clothes","Any"
"PINE BUSH SENIOR HIGH SCHOOL","NY","change clothes","Any"
"COE-BROWN NORTHWOOD ACADEMY","NH","change clothes","1st"
"COE-BROWN NORTHWOOD ACADEMY","NH","change clothes","2nd"
"COE-BROWN NORTHWOOD ACADEMY","NH","change clothes","3rd"
"HUNTLEY PROJECT HIGH SCHL","MT","change clothes","Any"
"FRUITVALE H S","TX","change clothes","Any"
