"neighborhood","yelpAlias","yelpTitle","nCount","neighborhoodTotal","cCount","cityTotal","incidence","rank"
"Annadale","roofing","Roofing",65,1685,281,3633681,498.831568054,1
"Annadale","masonry_concrete","Masonry/Concrete",65,1685,460,3633681,304.721023094,2
"Annadale","snowremoval","Snow Removal",65,1685,793,3633681,176.76124921,3
"Annadale","custommerchandise","Customized Merchandise",20,1685,463,3633681,93.1527965597,4
"Annadale","screenprinting","Screen Printing",20,1685,618,3633681,69.7892310795,5
"Arden Heights","chimneysweeps","Chimney Sweeps",111,964,765,3633681,546.929448377,1
"Arden Heights","calligraphy","Calligraphy",13,964,232,3633681,211.215181893,2
"Arden Heights","airductcleaning","Air Duct Cleaning",111,964,3565,3633681,117.363542218,3
"Arden Heights","food","Food",13,964,519,3633681,94.4160350658,4
"Arden Heights","hvac","Heating & Air Conditioning/HVAC",111,964,5430,3633681,77.0535963183,5
"Arrochar","waterheaterinstallrepair","Water Heater Installation/Repair",16,1640,542,3633681,65.4069120691,1
"Arrochar","septicservices","Septic Services",16,1640,655,3633681,54.1229715137,2
"Arrochar","funeralservices","Funeral Services & Cemeteries",17,1640,1688,3633681,22.3141027771,3
"Arrochar","juicebars","Juice Bars & Smoothies",85,1640,8725,3633681,21.5852180446,4
"Arrochar","plumbing","Plumbing",16,1640,1658,3633681,21.3815116655,5
"Arverne","auto_detailing","Auto Detailing",217,1509,2279,3633681,229.283586764,1
"Arverne","bodyshops","Body Shops",226,1509,12803,3633681,42.5063928698,2
"Arverne","photographers","Photographers",239,1509,20158,3633681,28.5501252826,3
"Arverne","videographers","Videographers",239,1509,31615,3633681,18.2038091237,4
"Arverne","autorepair","Auto Repair",226,1509,29918,3633681,18.1900310152,5
"Astoria","greek","Greek",906,88849,4365,3633681,8.48864171611,1
"Astoria","bodyshops","Body Shops",1686,88849,12803,3633681,5.38567421156,2
"Astoria","kitchenandbath","Kitchen & Bath",994,88849,12635,3633681,3.21740247834,3
"Astoria","airport_shuttles","Airport Shuttles",1331,88849,17433,3633681,3.12248369455,4
"Astoria","autorepair","Auto Repair",2275,88849,29918,3633681,3.10987617374,5
"Astoria Heights","tobaccoshops","Tobacco Shops",14,810,485,3633681,129.493531882,1
"Astoria Heights","mags","Newspapers & Magazines",14,810,711,3633681,88.33243736,2
"Astoria Heights","gourmet","Specialty Food",28,810,2070,3633681,60.6805439256,3
"Astoria Heights","propertymgmt","Property Management",198,810,26617,3633681,33.3708957934,4
"Astoria Heights","weightlosscenters","Weight Loss Centers",14,810,3639,3633681,17.2586872665,5
"Auburndale","departmentsofmotorvehicles","Departments of Motor Vehicles",155,7609,634,3633681,116.751280963,1
"Auburndale","vehiclewraps","Vehicle Wraps",198,7609,932,3633681,101.453840522,2
"Auburndale","carwindowtinting","Car Window Tinting",209,7609,1502,3633681,66.4500890651,3
"Auburndale","plumbing","Plumbing",104,7609,1658,3633681,29.9549105473,4
"Auburndale","korean","Korean",297,7609,7337,3633681,19.3311256712,5
"Bath Beach","commissionedartists","Commissioned Artists",373,14768,1344,3633681,68.2864722893,1
"Bath Beach","carbuyers","Car Buyers",181,14768,1386,3633681,32.1321998131,2
"Bath Beach","translationservices","Translation Services",262,14768,2806,3633681,22.9741122664,3
"Bath Beach","flooring","Flooring",167,14768,2960,3633681,13.8819307771,4
"Bath Beach","car_dealers","Car Dealers",247,14768,4732,3633681,12.8433208348,5
"Battery Park","boattours","Boat Tours",191,10653,850,3633681,76.6459678301,1
"Battery Park","boatcharters","Boat Charters",216,10653,1054,3633681,69.9017440099,2
"Battery Park","estatephotography","Real Estate Photography",244,10653,7279,3633681,11.4338628357,3
"Battery Park","landmarks","Landmarks & Historical Buildings",281,10653,10905,3633681,8.78932494879,4
"Battery Park","bbq","Barbeque",133,10653,5642,3633681,8.04069206382,5
"Bay Ridge","teethwhitening","Teeth Whitening",164,12963,221,3633681,208.014136999,1
"Bay Ridge","pettransport","Pet Transportation",217,12963,383,3633681,158.818919443,2
"Bay Ridge","registrationservices","Registration Services",188,12963,348,3633681,151.432775512,3
"Bay Ridge","tanningbeds","Tanning Beds",164,12963,338,3633681,136.009243422,4
"Bay Ridge","localfishstores","Local Fish Stores",229,12963,541,3633681,118.653210624,5
"Bay Terrace","homeinsurance","Home & Rental Insurance",16,1292,2097,3633681,21.4588199861,1
"Bay Terrace","lifeinsurance","Life Insurance",16,1292,2393,3633681,18.8044903932,2
"Bay Terrace","autoinsurance","Auto Insurance",16,1292,2687,3633681,16.746983815,3
"Bay Terrace","donuts","Donuts",28,1292,5818,3633681,13.5353222145,4
"Bay Terrace","comfortfood","Comfort Food",15,1292,3163,3633681,13.3375589366,5
"Baychester","african","African",41,2822,1039,3633681,50.811041596,1
"Baychester","caribbean","Caribbean",187,2822,8761,3633681,27.4838591898,2
"Baychester","driving_schools","Driving Schools",208,2822,10643,3633681,25.164543789,3
"Baychester","recording_studios","Recording & Rehearsal Studios",27,2822,2309,3633681,15.056693848,4
"Baychester","tires","Tires",43,2822,3694,3633681,14.9886097785,5
"Bayside","greek","Greek",345,16445,4365,3633681,17.4641626415,1
"Bayside","korean","Korean",321,16445,7337,3633681,9.66717172937,2
"Bayside","tutoring","Tutoring Centers",302,16445,9196,3633681,7.25639475225,3
"Bayside","foodtrucks","Food Trucks",205,16445,9309,3633681,4.8659064037,4
"Bayside","testprep","Test Preparation",262,16445,12056,3633681,4.80187634558,5
"Bedford Park","dominican","Dominican",66,4495,2980,3633681,17.9037816814,1
"Bedford Park","restaurants","Restaurants",76,4495,5327,3633681,11.5331515129,2
"Bedford Park","diners","Diners",113,4495,8498,3633681,10.7492662148,3
"Bedford Park","beerbar","Beer Bar",51,4495,4789,3633681,8.60879648416,4
"Bedford Park","spanish","Spanish",66,4495,6463,3633681,8.2551863547,5
"Bedford Stuyvesant","estatephotography","Real Estate Photography",580,44353,7279,3633681,6.52799888759,1
"Bedford Stuyvesant","cafes","Cafes",522,44353,15890,3633681,2.69135138531,2
"Bedford Stuyvesant","sessionphotography","Session Photography",1757,44353,55937,3633681,2.57333536427,3
"Bedford Stuyvesant","videofilmproductions","Video/Film Production",661,44353,22439,3633681,2.41335804501,4
"Bedford Stuyvesant","videographers","Videographers",811,44353,31615,3633681,2.10160680303,5
"Belle Harbor","media","Books, Mags, Music & Video",5,256,429,3633681,165.432009397,1
"Belle Harbor","homeinsurance","Home & Rental Insurance",6,256,2097,3633681,40.612493294,2
"Belle Harbor","lifeinsurance","Life Insurance",6,256,2393,3633681,35.5889671699,3
"Belle Harbor","autoinsurance","Auto Insurance",6,256,2687,3633681,31.6949752279,4
"Belle Harbor","salad","Salad",18,256,9580,3633681,26.6694358364,5
"Bellerose","windowwashing","Window Washing",68,2891,2037,3633681,41.9581750076,1
"Bellerose","airport_shuttles","Airport Shuttles",166,2891,17433,3633681,11.9683605581,2
"Bellerose","indpak","Indian",48,2891,6905,3633681,8.73728014555,3
"Bellerose","halal","Halal",32,2891,5289,3633681,7.60457798009,4
"Bellerose","chicken_wings","Chicken Wings",46,2891,8458,3633681,6.83579227909,5
"Belmont","fireplace","Fireplace Services",99,8871,587,3633681,69.0830195897,1
"Belmont","chimneysweeps","Chimney Sweeps",99,8871,765,3633681,53.0088006525,2
"Belmont","cheese","Cheese Shops",102,8871,856,3633681,48.8090804649,3
"Belmont","locksmiths","Keys & Locksmiths",152,8871,2350,3633681,26.4941471733,4
"Belmont","insurance","Insurance",228,8871,5941,3633681,15.7198903865,5
"Bensonhurst","pianoservices","Piano Services",260,22890,2185,3633681,18.8896065453,1
"Bensonhurst","stereo_installation","Car Stereo Installation",234,22890,3020,3633681,12.3001361825,2
"Bensonhurst","autocustomization","Auto Customization",234,22890,3089,3633681,12.0253840309,3
"Bensonhurst","autoglass","Auto Glass Services",242,22890,5562,3633681,6.90693528404,4
"Bensonhurst","pest_control","Pest Control",408,22890,10738,3633681,6.03167272339,5
"Bergen Beach","horse_boarding","Horse Boarding",3,304,29,3633681,1236.50669238,1
"Bergen Beach","horsebackriding","Horseback Riding",3,304,201,3633681,178.401463079,2
"Bergen Beach","dancestudio","Dance Studios",9,304,2321,3633681,46.349022937,3
"Bergen Beach","elementaryschools","Elementary Schools",16,304,4701,3633681,40.6820609277,4
"Bergen Beach","eventphotography","Event Photography",118,304,54887,3633681,25.697195458,5
"Bloomfield","nursingschools","Nursing Schools",8,835,444,3633681,78.4092571614,1
"Bloomfield","filipino","Filipino",16,835,1190,3633681,58.5104372767,2
"Bloomfield","candy","Candy Stores",8,835,610,3633681,57.0716560322,3
"Bloomfield","mags","Newspapers & Magazines",8,835,711,3633681,48.9644306324,4
"Bloomfield","estateplanning","Estate Planning Law",12,835,1307,3633681,39.9545258374,5
"Boerum Hill","mortgagebrokers","Mortgage Brokers",470,21586,3783,3633681,20.9139536868,1
"Boerum Hill","pianoservices","Piano Services",220,21586,2185,3633681,16.9490696678,2
